# index, name, Colegio, Curso, Grupo, Sexo, prosocial, crttotal, _pos
75,3203,,,,,,,"array([0.85518737, 3.36732849])"
76,3250,9,1,C,Male,0.0,2,"array([0.91456468, 3.29857488])"
77,3219,,,,,,,"array([0.88492227, 3.2054246 ])"
78,3233,,,,,,,"array([0.88795272, 3.23306655])"
79,3206,9,1,A,Female,0.67,2,"array([0.87335927, 3.35820997])"
80,3227,9,1,B,Male,1.0,2,"array([0.89104434, 3.28403188])"
81,3215,,,,,,,"array([0.87116043, 3.26611225])"
82,3223,9,1,B,Male,0.67,2,"array([0.9016593, 3.2326803])"
83,3254,9,1,C,Male,0.67,0,"array([0.91266506, 3.32311668])"
84,3220,,,,,,,"array([0.82151047, 3.25513574])"
85,3221,9,1,B,Male,0.33,1,"array([0.87484451, 3.29253712])"
86,3242,9,1,C,Male,0.67,2,"array([0.88883087, 3.30849385])"
87,3207,,,,,,,"array([0.92411944, 3.39374376])"
88,3257,,,,,,,"array([0.98916666, 3.35411397])"
89,3267,9,1,C,Female,0.67,1,"array([1.02448584, 3.29121661])"
90,3260,9,1,C,Female,0.33,0,"array([0.94462073, 3.33270407])"
91,3249,9,1,C,Female,0.67,1,"array([1.00061778, 3.26928257])"
92,3256,9,1,C,Female,0.67,2,"array([0.98884489, 3.30485871])"
93,3269,,,,,,,"array([0.99646446, 3.25155837])"
94,3247,,,,,,,"array([0.96653866, 3.32900612])"
95,3251,,,,,,,"array([0.93988757, 3.21265826])"
96,3268,9,1,C,Female,0.0,2,"array([0.94195013, 3.26088621])"
97,3263,,,,,,,"array([0.95528479, 3.20408715])"
98,3283,9,1,D,Male,0.67,2,"array([0.97375223, 3.24426379])"
99,3262,,,,,,,"array([0.97107176, 3.39389065])"
100,3244,9,1,C,Male,0.67,1,"array([0.88673561, 3.26506839])"
101,3225,9,1,B,Female,0.67,2,"array([0.91512081, 3.23131421])"
102,3211,,,,,,,"array([0.87252698, 3.20028959])"
103,3214,9,1,B,Female,0.67,2,"array([0.87776165, 3.22114552])"
104,3238,,,,,,,"array([0.84172102, 3.20606377])"
105,3245,,,,,,,"array([0.93049624, 3.36351976])"
106,3229,,,,,,,"array([0.83844727, 3.22456642])"
107,3209,,,,,,,"array([0.91752408, 3.19311054])"
108,3208,,,,,,,"array([0.86026845, 3.21120374])"
109,3230,9,1,B,Female,0.0,2,"array([0.89567647, 3.21471797])"
110,3232,9,1,B,Male,1.0,2,"array([0.89573753, 3.19566995])"
111,3231,9,1,B,Male,0.33,1,"array([0.82725077, 3.23825053])"
112,3239,,,,,,,"array([0.84532832, 3.26921937])"
113,3264,,,,,,,"array([0.95167709, 3.36804283])"
114,3286,9,1,D,Male,0.0,2,"array([0.95997313, 3.22034043])"
115,3291,9,1,D,Male,1.0,1,"array([0.97629929, 3.22676484])"
116,3248,,,,,,,"array([0.95892228, 3.34433667])"
117,3252,9,1,C,Female,0.67,1,"array([1.01157566, 3.30796763])"
118,3241,,,,,,,"array([0.80027252, 3.26976399])"
119,3253,,,,,,,"array([1.02244098, 3.34872314])"
120,3277,,,,,,,"array([1.00079702, 3.28893843])"
121,3290,,,,,,,"array([0.99550712, 3.32456336])"
122,3259,,,,,,,"array([1.0332276 , 3.26680625])"
123,3288,9,1,D,Male,1.0,1,"array([0.99696642, 3.23060124])"
124,5601,9,2,A,Female,0.33,1,"array([-0.09367721,  3.3450539 ])"
125,5647,,,,,,,"array([-0.05333814,  3.41978711])"
126,5631,9,2,B,Female,0.67,2,"array([-0.05022345,  3.38402373])"
127,5668,9,2,C,Male,0.33,1,"array([-0.12143338,  3.36914139])"
128,5614,,,,,,,"array([-0.1284643,  3.3242901])"
129,5689,9,2,C,Female,0.33,2,"array([-0.14082728,  3.41852798])"
130,5611,9,2,A,Female,0.67,1,"array([-0.14851565,  3.34085341])"
131,5627,9,2,A,Female,0.33,0,"array([-0.15607818,  3.32922149])"
132,5652,9,2,B,Female,0.67,2,"array([-0.0313134 ,  3.35826801])"
133,5681,,,,,,,"array([-0.16944029,  3.37735074])"
134,5640,9,2,B,Female,0.67,2,"array([-0.06402643,  3.36215252])"
135,5633,,,,,,,"array([-0.03842605,  3.34229757])"
136,5733,9,2,E,Male,0.67,2,"array([-0.07058486,  3.33023416])"
137,5642,9,2,B,Male,0.67,1,"array([-0.02872993,  3.33135185])"
138,5664,,,,,,,"array([-0.16113324,  3.3649593 ])"
139,5616,9,2,A,Female,0.67,2,"array([-0.10187075,  3.33615251])"
140,5625,,,,,,,"array([-0.11632903,  3.28229843])"
141,5754,9,2,E,Male,0.0,2,"array([-0.08581633,  3.28854942])"
142,5740,9,2,E,Female,0.67,1,"array([-0.11890096,  3.33499332])"
143,5686,9,2,C,Male,0.67,1,"array([-0.15310444,  3.39052284])"
144,5690,,,,,,,"array([-0.18366082,  3.38068156])"
145,5639,,,,,,,"array([-0.01886768,  3.34430348])"
146,5671,9,2,C,Female,1.0,2,"array([-0.11607506,  3.40733365])"
147,5749,9,2,E,Male,0.67,1,"array([-0.05513866,  3.35340083])"
148,5711,9,2,D,Female,0.33,0,"array([-0.09382025,  3.37913532])"
149,5726,9,2,E,Female,0.33,2,"array([-0.03726534,  3.29763173])"
150,5698,9,2,D,Female,1.0,2,"array([-0.08826322,  3.38710066])"
151,5680,,,,,,,"array([-0.15628253,  3.35330639])"
152,5747,,,,,,,"array([-0.07431064,  3.31675568])"
153,5638,,,,,,,"array([-0.06046755,  3.39204994])"
154,5710,,,,,,,"array([-0.10547984,  3.41619891])"
155,5637,9,2,B,Female,0.67,1,"array([-0.02852171,  3.36942143])"
156,5661,9,2,B,Female,0.67,1,"array([-0.03736026,  3.38846598])"
157,5648,9,2,B,Female,0.67,1,"array([-0.08668777,  3.3704496 ])"
158,5743,9,2,E,Female,0.67,1,"array([-0.07072192,  3.34128895])"
159,5757,9,2,E,Female,0.67,2,"array([-0.08225449,  3.32833325])"
160,5720,,,,,,,"array([-0.10119343,  3.30979739])"
161,5755,,,,,,,"array([-0.03567339,  3.31155219])"
162,5656,,,,,,,"array([-0.03073967,  3.40987977])"
163,5608,,,,,,,"array([-0.18696027,  3.27684771])"
164,5654,,,,,,,"array([-0.00503773,  3.38383734])"
165,5746,9,2,E,Male,0.67,1,"array([-0.04181824,  3.28068933])"
166,5620,9,2,A,Female,1.0,2,"array([-0.12316063,  3.34705786])"
167,5660,9,2,B,Male,0.33,2,"array([-0.05355094,  3.36737832])"
168,5658,,,,,,,"array([-0.06175725,  3.40581277])"
169,5753,9,2,E,Male,1.0,2,"array([-0.0484543 ,  3.30495704])"
170,5750,9,2,E,Male,0.67,1,"array([-0.04268625,  3.32779402])"
171,5744,9,2,E,Male,0.67,0,"array([-0.05933568,  3.30093713])"
172,5622,,,,,,,"array([-0.19156875,  3.33777717])"
173,5618,,,,,,,"array([-0.13315274,  3.26200445])"
174,5723,9,2,D,Male,0.0,1,"array([-0.13141607,  3.36061115])"
175,5683,9,2,C,Female,0.67,1,"array([-0.14196124,  3.35319817])"
176,5630,9,2,A,Female,0.67,2,"array([-0.11047815,  3.32994749])"
177,5659,,,,,,,"array([-0.04703309,  3.40248282])"
178,5624,9,2,A,Female,1.0,2,"array([-0.1253926 ,  3.31261704])"
179,5653,9,2,B,99.0,0.33,1,"array([-0.05641351,  3.33763673])"
180,5662,,,,,,,"array([-0.09171617,  3.35596492])"
181,5674,9,2,C,Female,0.67,2,"array([-0.15344198,  3.37734927])"
182,5603,9,2,A,Female,0.67,2,"array([-0.08730984,  3.30612699])"
183,5612,9,2,A,Female,0.67,2,"array([-0.1248243 ,  3.29610797])"
184,5738,9,2,E,Male,0.67,2,"array([-0.07130676,  3.30174083])"
185,5600,,,,,,,"array([-0.01295436,  3.48360617])"
186,5745,9,2,E,Male,1.0,2,"array([-0.05828264,  3.31430027])"
187,5609,9,2,A,Male,1.0,2,"array([-0.15119462,  3.29374469])"
188,5734,9,2,E,Female,0.67,0,"array([-0.11466862,  3.30463711])"
189,5732,9,2,E,Female,0.67,1,"array([-0.02250938,  3.30260971])"
190,5731,9,2,E,Male,0.67,2,"array([-0.07159834,  3.26071965])"
191,5604,9,2,A,Female,0.67,2,"array([-0.13115267,  3.34029813])"
192,5727,9,2,E,Female,0.67,2,"array([-0.07064968,  3.28910289])"
193,5729,,,,,,,"array([-0.09268604,  3.25319202])"
194,5730,,,,,,,"array([-0.06297131,  3.23597672])"
195,5735,9,2,E,Male,0.67,1,"array([-0.05854614,  3.27690771])"
196,5736,9,2,E,Male,0.67,2,"array([-0.07525888,  3.27438087])"
197,5748,9,2,E,Female,0.67,2,"array([-0.08265545,  3.34282338])"
198,5752,,,,,,,"array([-0.01452851,  3.27249449])"
199,5628,,,,,,,"array([-0.13629472,  3.28542216])"
200,5751,,,,,,,"array([-0.02984157,  3.22783324])"
201,5610,9,2,A,Female,1.0,0,"array([-0.13948939,  3.31221023])"
202,5678,,,,,,,"array([-0.17172155,  3.39139105])"
203,5717,9,2,D,Female,0.0,2,"array([-0.10147987,  3.37417405])"
204,5725,,,,,,,"array([-0.10207804,  3.29515839])"
205,5606,9,2,A,Male,0.33,1,"array([-0.14213298,  3.32474242])"
206,5721,9,2,D,Male,0.67,2,"array([-0.13910776,  3.38201356])"
207,5712,,,,,,,"array([-0.07710864,  3.36556363])"
208,5619,,,,,,,"array([-0.17487726,  3.32689832])"
209,5605,,,,,,,"array([-0.19498698,  3.29715051])"
210,5602,,,,,,,"array([-0.16059269,  3.27787299])"
211,5615,9,2,A,Male,1.0,2,"array([-0.11018905,  3.35324715])"
212,5635,,,,,,,"array([-0.0177024 ,  3.39156466])"
213,5607,9,2,A,Female,0.67,2,"array([-0.16438384,  3.30482519])"
214,5629,,,,,,,"array([-0.1756501 ,  3.34898444])"
215,5617,,,,,,,"array([-0.16520112,  3.2500469 ])"
216,5626,9,2,A,Male,0.33,1,"array([-0.15151321,  3.31611244])"
217,5613,9,2,A,Male,0.67,2,"array([-0.22526918,  3.3112406 ])"
218,5621,,,,,,,"array([-0.16731983,  3.33784308])"
219,5623,9,2,A,Male,0.67,0,"array([-0.11089062,  3.34222746])"
220,5715,,,,,,,"array([-0.08389152,  3.40266976])"
221,5670,,,,,,,"array([-0.18989617,  3.41940016])"
222,5650,,,,,,,"array([-0.07534907,  3.41470762])"
223,5714,9,2,D,Female,0.67,1,"array([-0.12707645,  3.39061145])"
224,5728,,,,,,,"array([-0.05339565,  3.26244465])"
225,5724,9,2,D,Male,0.33,1,"array([-0.14631399,  3.36679093])"
226,5716,9,2,D,Male,1.0,2,"array([-0.101744  ,  3.35613677])"
227,5702,,,,,,,"array([-0.1501078 ,  3.40636462])"
228,5645,9,2,B,Male,0.0,2,"array([-0.05996866,  3.3773261 ])"
229,5641,,,,,,,"array([-0.06803517,  3.4277613 ])"
230,5695,9,2,D,Male,1.0,2,"array([-0.12471351,  3.41457981])"
231,5704,9,2,D,Female,0.67,2,"array([-0.09514736,  3.39611896])"
232,5649,9,2,B,Male,1.0,0,"array([-0.00338319,  3.34766006])"
233,5701,9,2,D,Male,0.67,2,"array([-0.09416308,  3.32476486])"
234,5677,,,,,,,"array([-0.18421624,  3.40320944])"
235,5696,,,,,,,"array([-0.08563614,  3.42935304])"
236,5646,9,2,B,Male,0.67,2,"array([-0.04468032,  3.35551821])"
237,5699,9,2,D,Male,0.67,1,"array([-0.0950104 ,  3.36621544])"
238,5687,9,2,C,Male,1.0,1,"array([-0.12208111,  3.38176083])"
239,5703,9,2,D,Male,0.67,1,"array([-0.07265604,  3.3924676 ])"
240,5709,9,2,D,Male,0.33,1,"array([-0.10510007,  3.39828674])"
241,5713,9,2,D,Male,0.67,1,"array([-0.09388109,  3.41040097])"
242,5741,9,2,E,Male,0.67,3,"array([-0.05364001,  3.32527222])"
243,5692,,,,,,,"array([-0.20723889,  3.39979022])"
244,5707,,,,,,,"array([-0.13332   ,  3.37191223])"
245,5666,9,2,C,Female,1.0,3,"array([-0.12006886,  3.35998919])"
246,5742,,,,,,,"array([-0.0149948,  3.3155226])"
247,5673,9,2,C,Male,0.33,1,"array([-0.13167817,  3.40485579])"
248,5756,,,,,,,"array([-0.09779418,  3.27609714])"
249,5719,9,2,D,Female,0.67,1,"array([-0.11000424,  3.38694901])"
250,5636,9,2,B,Female,1.0,1,"array([-0.01053703,  3.36461538])"
251,5669,,,,,,,"array([-0.16928706,  3.45244394])"
252,5634,,,,,,,"array([-0.00965302,  3.4197691 ])"
253,5644,9,2,B,Female,0.67,2,"array([-0.07378465,  3.3509355 ])"
254,5694,9,2,D,Female,0.67,2,"array([-0.11241741,  3.37818866])"
255,5657,,,,,,,"array([0.02008061, 3.37199905])"
256,5632,,,,,,,"array([0.02274918, 3.35038576])"
257,5655,9,2,B,Male,0.33,1,"array([8.26264697e-05, 3.32810766e+00])"
258,5708,,,,,,,"array([-0.10960213,  3.31894566])"
259,5739,9,2,E,Male,0.67,1,"array([-0.05342727,  3.28858892])"
260,5737,9,2,E,Female,0.67,2,"array([-0.02956893,  3.26457058])"
261,5697,9,2,D,Male,0.67,2,"array([-0.07641149,  3.37828565])"
262,5685,9,2,C,Male,0.0,1,"array([-0.15416507,  3.4200336 ])"
263,5675,,,,,,,"array([-0.1558608 ,  3.43801713])"
264,5706,9,2,D,Female,0.67,2,"array([-0.10764874,  3.36475127])"
265,5651,9,2,B,Male,1.0,1,"array([-0.04036436,  3.37296753])"
266,5665,,,,,,,"array([-0.1695323,  3.4198652])"
267,5643,,,,,,,"array([0.02415565, 3.31551081])"
268,5663,9,2,C,Female,1.0,2,"array([-0.11128133,  3.42901737])"
269,5691,9,2,C,Male,1.0,3,"array([-0.11907738,  3.44223969])"
270,5688,9,2,C,Female,0.67,0,"array([-0.13712005,  3.43426037])"
271,5676,,,,,,,"array([-0.12150928,  3.45862409])"
272,5667,9,2,C,Male,0.67,2,"array([-0.14035748,  3.39659529])"
273,5718,9,2,D,Female,1.0,2,"array([-0.11754518,  3.39478723])"
274,5682,,,,,,,"array([-0.14751558,  3.45997783])"
275,5672,,,,,,,"array([-0.22316102,  3.37879233])"
276,5684,,,,,,,"array([-0.234045  ,  3.35145371])"
277,5679,9,2,C,Male,0.67,1,"array([-0.16434762,  3.40568329])"
278,5693,9,2,D,Female,0.33,1,"array([-0.09483611,  3.44143106])"
279,5700,,,,,,,"array([-0.18624833,  3.36493663])"
280,5722,9,2,D,Male,1.0,2,"array([-0.12673877,  3.42863271])"
281,5705,,,,,,,"array([-0.17875903,  3.43757751])"
282,5763,9,3,A,Male,1.0,1,"array([0.13140198, 3.57032308])"
283,5807,9,3,C,Female,0.67,2,"array([0.11535419, 3.48828277])"
284,5813,9,3,C,Male,0.0,2,"array([0.1161759 , 3.54644678])"
285,5816,9,3,C,Male,0.67,3,"array([0.09881245, 3.54487839])"
286,5764,9,3,A,Male,0.0,2,"array([0.19144899, 3.5354266 ])"
287,5769,9,3,A,Male,0.0,2,"array([0.17512272, 3.48689324])"
288,5758,,,,,,,"array([0.16826501, 3.46732364])"
289,5770,9,3,A,Male,0.67,2,"array([0.17903075, 3.54508605])"
290,5771,9,3,A,Male,0.67,1,"array([0.14825598, 3.49637015])"
291,5772,,,,,,,"array([0.16924308, 3.53467339])"
292,5765,9,3,A,Male,0.67,2,"array([0.15627177, 3.50540462])"
293,5773,9,3,A,Male,0.33,2,"array([0.16542089, 3.49101606])"
294,5759,,,,,,,"array([0.25693515, 3.43053871])"
295,5775,9,3,A,Male,0.67,2,"array([0.12852026, 3.53285321])"
296,5833,9,3,D,Male,1.0,2,"array([0.15397751, 3.48713078])"
297,5820,,,,,,,"array([0.14113595, 3.50614242])"
298,5863,9,3,E,Female,0.67,2,"array([0.1541048, 3.462231 ])"
299,5781,9,3,A,Female,0.67,2,"array([0.19943081, 3.46671139])"
300,5846,9,3,D,2.0,1.0,1,"array([0.1925083 , 3.49084971])"
301,5792,9,3,B,Male,0.67,1,"array([0.17587515, 3.51334543])"
302,5837,,,,,,,"array([0.23575507, 3.49653883])"
303,5809,9,3,C,Male,1.0,2,"array([0.10445126, 3.51963674])"
304,5785,9,3,B,Male,0.67,0,"array([0.15647015, 3.54350089])"
305,5818,,,,,,,"array([0.13873999, 3.53870618])"
306,5860,9,3,E,Female,0.67,1,"array([0.14366499, 3.43276945])"
307,5875,9,3,E,Male,0.67,2,"array([0.1480772 , 3.47368058])"
308,5840,9,3,D,Male,0.33,2,"array([0.21229385, 3.49086944])"
309,5856,9,3,E,Male,0.67,1,"array([0.12576033, 3.4605324 ])"
310,5802,9,3,B,Male,1.0,2,"array([0.13757102, 3.52314648])"
311,5848,,,,,,,"array([0.23544616, 3.54137466])"
312,5806,,,,,,,"array([0.14441549, 3.59310155])"
313,5767,9,3,A,Female,0.0,2,"array([0.1922654, 3.4023462])"
314,5780,9,3,A,Female,0.67,1,"array([0.12588177, 3.44104404])"
315,5831,,,,,,,"array([0.25515957, 3.44894367])"
316,5760,,,,,,,"array([0.17762697, 3.41213548])"
317,5776,,,,,,,"array([0.13416552, 3.41113903])"
318,5832,,,,,,,"array([0.17306797, 3.43174194])"
319,5825,9,3,C,Male,0.33,2,"array([0.18396262, 3.50008309])"
320,5768,9,3,A,Male,0.67,2,"array([0.2762677 , 3.52706079])"
321,5871,,,,,,,"array([0.25425968, 3.46826441])"
322,5874,9,3,E,Male,0.0,0,"array([0.24181915, 3.47926869])"
323,5801,,,,,,,"array([0.16909726, 3.45289649])"
324,5791,,,,,,,"array([0.22848882, 3.51759159])"
325,5847,9,3,D,Female,0.67,2,"array([0.18376375, 3.46146757])"
326,5834,9,3,D,Female,0.67,2,"array([0.22240141, 3.48079259])"
327,5836,9,3,D,Male,0.33,0,"array([0.21170729, 3.46868938])"
328,5799,9,3,B,Female,0.67,2,"array([0.16275734, 3.478897  ])"
329,5782,,,,,,,"array([0.25260793, 3.53446115])"
330,5835,9,3,D,Male,0.67,1,"array([0.18467356, 3.44098318])"
331,5853,9,3,E,Female,0.33,1,"array([0.15893802, 3.43150571])"
332,5839,9,3,D,Female,0.33,2,"array([0.19011427, 3.42283989])"
333,5814,9,3,C,Female,0.0,0,"array([0.08951382, 3.49631549])"
334,5815,,,,,,,"array([0.15486437, 3.44508332])"
335,5784,,,,,,,"array([0.16639356, 3.57918491])"
336,5817,9,3,C,Female,0.67,2,"array([0.12089706, 3.47576728])"
337,5783,9,3,B,Female,0.0,1,"array([0.1997718 , 3.52235304])"
338,5857,9,3,E,Female,0.67,0,"array([0.21918253, 3.42181687])"
339,5826,,,,,,,"array([0.13697839, 3.55350565])"
340,5828,9,3,C,Female,0.67,2,"array([0.08718905, 3.52528202])"
341,5858,,,,,,,"array([0.12367818, 3.42425344])"
342,5803,,,,,,,"array([0.16645793, 3.55139211])"
343,5797,9,3,B,Male,1.0,3,"array([0.12082731, 3.5211275 ])"
344,5864,9,3,E,Female,0.67,1,"array([0.19362428, 3.45225755])"
345,5842,9,3,D,Female,0.67,2,"array([0.23370884, 3.42657322])"
346,5829,,,,,,,"array([0.15342321, 3.56317093])"
347,5779,9,3,A,Male,0.67,1,"array([0.16548162, 3.52030374])"
348,5778,9,3,A,Male,1.0,2,"array([0.18162206, 3.5260921 ])"
349,5805,9,3,C,Female,0.67,2,"array([0.10424545, 3.47751502])"
350,5844,,,,,,,"array([0.25330787, 3.49359309])"
351,5838,9,3,D,Female,0.67,1,"array([0.22833008, 3.46627919])"
352,5766,,,,,,,"array([0.27277589, 3.50692171])"
353,5819,9,3,C,Female,0.0,2,"array([0.19710063, 3.43887497])"
354,5861,,,,,,,"array([0.2242828 , 3.43887709])"
355,5849,9,3,D,Female,1.0,2,"array([0.24008571, 3.46003291])"
356,5800,9,3,B,Female,0.67,2,"array([0.19803599, 3.4801066 ])"
357,5796,9,3,B,Male,0.67,3,"array([0.10622257, 3.49837395])"
358,5876,9,3,E,Female,0.67,0,"array([0.20939639, 3.43439035])"
359,5804,9,3,C,Female,0.67,3,"array([0.12797595, 3.49997506])"
360,5777,9,3,A,Female,0.33,1,"array([0.18370176, 3.47247407])"
361,5862,9,3,E,Male,1.0,1,"array([0.13500619, 3.4716926 ])"
362,5761,,,,,,,"array([0.23284687, 3.59239049])"
363,5823,9,3,C,Female,0.67,2,"array([0.08497885, 3.48154425])"
364,5872,9,3,E,Female,0.33,1,"array([0.2061925 , 3.45106795])"
365,5811,,,,,,,"array([0.08122868, 3.45606742])"
366,5762,,,,,,,"array([0.28744079, 3.45893568])"
367,5873,9,3,E,Female,0.67,1,"array([0.10603653, 3.45902384])"
368,5821,9,3,C,Female,0.0,2,"array([0.07224399, 3.50352769])"
369,5869,9,3,E,Female,0.67,1,"array([0.14809548, 3.41089751])"
370,5822,,,,,,,"array([0.1177508 , 3.50745672])"
371,5841,,,,,,,"array([0.24551221, 3.51408502])"
372,5774,9,3,A,Female,0.67,2,"array([0.15088691, 3.52977383])"
373,5827,9,3,C,Female,0.67,2,"array([0.21988598, 3.53179223])"
374,5851,,,,,,,"array([0.18646781, 3.5640687 ])"
375,5787,9,3,B,Female,0.67,2,"array([0.21684439, 3.50676227])"
376,5790,9,3,B,Male,0.67,1,"array([0.15284416, 3.51560333])"
377,5824,,,,,,,"array([0.10694746, 3.56328057])"
378,5786,9,3,B,Male,0.67,1,"array([0.18959915, 3.51418387])"
379,5789,,,,,,,"array([0.24579525, 3.56497151])"
380,5866,9,3,E,Female,0.33,1,"array([0.0998719 , 3.44079276])"
381,5867,,,,,,,"array([0.13906102, 3.38596778])"
382,5854,9,3,E,Female,1.0,2,"array([0.22222061, 3.45423464])"
383,5865,9,3,E,Female,1.0,2,"array([0.16271459, 3.40613089])"
384,5868,,,,,,,"array([0.21329431, 3.4020583 ])"
385,5855,,,,,,,"array([0.20406509, 3.41567923])"
386,5859,9,3,E,Female,0.0,2,"array([0.13913407, 3.44858511])"
387,5852,9,3,D,Male,1.0,2,"array([0.20123333, 3.50267101])"
388,5793,9,3,B,Female,0.67,3,"array([0.13688438, 3.49032688])"
389,5843,9,3,D,Female,0.67,1,"array([0.23894522, 3.44320369])"
390,5795,9,3,B,Male,1.0,2,"array([0.17291805, 3.49982013])"
391,5798,,,,,,,"array([0.21847951, 3.55473067])"
392,5794,,,,,,,"array([0.20843501, 3.54374249])"
393,5788,9,3,B,Male,0.0,0,"array([0.20275902, 3.56420748])"
394,5850,,,,,,,"array([0.30054547, 3.50557395])"
395,5845,,,,,,,"array([0.27592497, 3.48152808])"
396,5808,,,,,,,"array([0.11480575, 3.58882862])"
397,5810,,,,,,,"array([0.27049163, 3.55416382])"
