Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-12-17 14:17:27,"Afternoon Workout",35m,"Glute Ham Raise",1,0,20,0,0,"",,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Glute Ham Raise",2,0,15,0,0,,,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Leg Extension (Machine)",1,5.0,12,0,0,"",,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Ab Wheel",1,0,16,0,0,"",,
2024-12-17 14:17:27,"Afternoon Workout",35m,"Ab Wheel",2,0,15,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Pull Up",1,0,8,0,0,"","",
2024-12-19 19:24:30,"Pullups Pushups",45m,"Pull Up",2,0,8,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Pull Up",3,0,7,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Pull Up",4,0,9,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Pull Up",5,0,7,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Pull Up",6,0,7,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Pull Up",7,0,5,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Pull Up",8,0,6,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Pull Up",9,0,6,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Pull Up",10,0,5,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Pull Up",11,0,5,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Push Up",1,0,22,0,0,"",,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Push Up",2,0,14,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Push Up",3,0,10,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Push Up",4,0,9,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Push Up",5,0,20,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Triceps Dip",1,0,12,0,0,"",,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Triceps Dip",2,0,15,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Triceps Dip",3,0.0,15,0,0,,,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Ab Wheel",1,0,15,0,0,"",,
2024-12-19 19:24:30,"Pullups Pushups",45m,"Ab Wheel",2,0,15,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Squat (Bodyweight)",1,0,50,0,0,"","",
2024-12-20 12:09:17,"Midday Workout",39m,"Squat (Bodyweight)",2,0,50,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Squat (Bodyweight)",3,0,50,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Glute Ham Raise",1,0,30,0,0,"",,
2024-12-20 12:09:17,"Midday Workout",39m,"Glute Ham Raise",2,0,30,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Glute Ham Raise",3,0,15,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Pistol Squat",1,0,15,0,0,"",,
2024-12-20 12:09:17,"Midday Workout",39m,"Pistol Squat",2,0,15,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Pistol Squat",3,0,13,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Pistol Squat",4,0,13,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Pistol Squat",5,0,13,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Pistol Squat",6,0,13,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Pistol Squat",7,0,10,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Pistol Squat",8,0,10,0,0,,,
2024-12-20 12:09:17,"Midday Workout",39m,"Standing Calf Raise (Bodyweight)",1,0,50,0,0,"",,
2024-12-20 12:09:17,"Midday Workout",39m,"Plank",1,0,0,0,75,"",,
2024-12-20 12:09:17,"Midday Workout",39m,"Plank",2,0,0,0,60,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Pull Up",1,0,9,0,0,"","",
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Pull Up",2,0,5,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Pull Up",3,0,9,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Pull Up",4,0,8,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Pull Up",5,0,7,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Pull Up",6,0,8,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Pull Up",7,0,4,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Pull Up",8,0,6,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Pull Up",9,0,4,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Pull Up",10,0,5,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Pull Up",11,0,12,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Triceps Dip",1,0,25,0,0,"",,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Triceps Dip",2,0,19,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Triceps Dip",3,0.0,16,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Triceps Dip",4,0.0,8,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Triceps Dip",5,0.0,15,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Push Up",1,0,18,0,0,"",,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Push Up",2,0,13,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Push Up",3,0,15,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Push Up",4,0,12,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Ab Wheel",1,0,15,0,0,"",,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Ab Wheel",2,0,12,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Bicep Curl (Dumbbell)",1,13.5,8,0,0,"",,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Bicep Curl (Dumbbell)",2,13.5,6,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Bicep Curl (Dumbbell)",3,13.5,3,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Triceps Pushdown (Cable - Straight Bar)",1,35.0,12,0,0,"",,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Triceps Pushdown (Cable - Straight Bar)",2,35.0,8,0,0,,,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Lateral Raise (Dumbbell)",1,11.0,11,0,0,"",,
2024-12-21 20:21:09,"Evening Workout",1h 3m,"Lateral Raise (Dumbbell)",2,8.5,12,0,0,,,
2024-12-22 20:34:55,"Legs&Gluts&abs",24m,"Squat (Bodyweight)",1,0,50,0,0,"","",
2024-12-22 20:34:55,"Legs&Gluts&abs",24m,"Squat (Bodyweight)",2,0,80,0,0,,,
2024-12-22 20:34:55,"Legs&Gluts&abs",24m,"Squat (Bodyweight)",3,0,25,0,0,,,
2024-12-22 20:34:55,"Legs&Gluts&abs",24m,"Pistol Squat",1,0,12,0,0,"",,
2024-12-22 20:34:55,"Legs&Gluts&abs",24m,"Pistol Squat",2,0,12,0,0,,,
2024-12-22 20:34:55,"Legs&Gluts&abs",24m,"Glute Ham Raise",1,0,20,0,0,"",,
2024-12-23 18:54:54,"Evening Workout",53m,"Triceps Dip",1,0,25,0,0,"","",
2024-12-23 18:54:54,"Evening Workout",53m,"Triceps Dip",2,0,12,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Triceps Dip",3,0.0,8,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Triceps Dip",4,0.0,15,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Pull Up",1,0,8,0,0,"",,
2024-12-23 18:54:54,"Evening Workout",53m,"Pull Up",2,0,10,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Pull Up",3,0,8,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Pull Up",4,0,10,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Pull Up",5,0,9,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Pull Up",6,0,9,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Push Up",1,0,20,0,0,"",,
2024-12-23 18:54:54,"Evening Workout",53m,"Push Up",2,0,20,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Push Up",3,0,13,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Push Up",4,0,20,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Push Up",5,0,20,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Push Up",6,0,10,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Squat (Bodyweight)",1,0,50,0,0,"",,
2024-12-23 18:54:54,"Evening Workout",53m,"Pistol Squat",1,0,15,0,0,"",,
2024-12-23 18:54:54,"Evening Workout",53m,"Pistol Squat",2,0,15,0,0,,,
2024-12-23 18:54:54,"Evening Workout",53m,"Back Extension",1,12.0,20,0,0,"",,
2024-12-23 18:54:54,"Evening Workout",53m,"Seated Overhead Press (Dumbbell)",1,13.5,12,0,0,"",,
2024-12-25 19:39:12,"Evening Workout",40m,"Pull Up",1,0,10,0,0,"","",
2024-12-25 19:39:12,"Evening Workout",40m,"Pull Up",2,0,8,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Pull Up",3,0,9,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Pull Up",4,0,5,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Pull Up",5,0,5,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Pull Up",6,0,5,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Pull Up",7,0,7,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Pull Up",8,0,6,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Pull Up",9,0,4,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Pull Up",10,0,6,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Push Up",1,0,20,0,0,"",,
2024-12-25 19:39:12,"Evening Workout",40m,"Push Up",2,0,20,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Push Up",3,0,10,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Push Up",4,0,10,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Push Up",5,0,15,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Push Up",6,0,10,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Push Up",7,0,6,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Triceps Dip",1,0,10,0,0,"",,
2024-12-25 19:39:12,"Evening Workout",40m,"Triceps Dip",2,0,14,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Triceps Dip",3,0.0,8,0,0,,,
