"voivodeship","year","abandonned","births","abandonned_per_100k"
"Polska",2012,918,386257,238
"Polska",2013,849,369576,230
"Polska",2014,772,375160,206
"Polska",2015,762,369308,206
"Polska",2016,709,382257,185
"Polska",2017,551,401982,137
"Polska",2018,472,388178,122
"Polska",2019,527,374954,141
"Polska",2020,506,355309,142
"Polska",2021,643,331511,194
"Polska",2022,571,305132,187
"Polska",2023,627,272451,230
"Pomorskie",2007,45,25474,177
"Pomorskie",2008,49,27430,179
"Pomorskie",2009,54,27343,197
"Pomorskie",2010,61,26890,227
"Pomorskie",2011,54,25059,215
"Pomorskie",2012,65,25052,259
"Pomorskie",2013,51,23938,213
"Pomorskie",2014,50,24610,203
"Pomorskie",2015,40,24596,163
"Pomorskie",2016,34,25865,131
"Pomorskie",2017,43,27481,156
"Pomorskie",2018,31,26498,117
"Pomorskie",2019,23,26041,88
"Pomorskie",2020,33,24495,135
"Pomorskie",2021,34,23335,146
"Pomorskie",2022,39,20993,186
"Pomorskie",2023,30,19126,157
"Warmińsko-Mazurskie",2007,20,15616,128
"Warmińsko-Mazurskie",2008,28,16339,171
"Warmińsko-Mazurskie",2009,30,16538,181
"Warmińsko-Mazurskie",2010,31,15771,197
"Warmińsko-Mazurskie",2011,31,14750,210
"Warmińsko-Mazurskie",2012,31,14330,216
"Warmińsko-Mazurskie",2013,43,13624,316
"Warmińsko-Mazurskie",2014,38,13958,272
"Warmińsko-Mazurskie",2015,34,13121,259
"Warmińsko-Mazurskie",2016,19,13443,141
"Warmińsko-Mazurskie",2017,19,14533,131
"Warmińsko-Mazurskie",2018,15,13687,110
"Warmińsko-Mazurskie",2019,16,12911,124
"Warmińsko-Mazurskie",2020,6,12108,50
"Warmińsko-Mazurskie",2021,9,10539,85
"Warmińsko-Mazurskie",2022,28,9913,282
"Warmińsko-Mazurskie",2023,25,8487,295
"Wielkopolskie",2007,49,38114,129
"Wielkopolskie",2008,55,40925,134
"Wielkopolskie",2009,52,40882,127
"Wielkopolskie",2010,49,40909,120
"Wielkopolskie",2011,53,38082,139
"Wielkopolskie",2012,48,37833,127
"Wielkopolskie",2013,65,36561,178
"Wielkopolskie",2014,40,37000,108
"Wielkopolskie",2015,47,36760,128
"Wielkopolskie",2016,40,38237,105
"Wielkopolskie",2017,35,40450,87
"Wielkopolskie",2018,21,38778,54
"Wielkopolskie",2019,36,37459,96
"Wielkopolskie",2020,44,35885,123
"Wielkopolskie",2021,41,33512,122
"Wielkopolskie",2022,69,30478,226
"Wielkopolskie",2023,76,27532,276
"Zachodniopomorskie",2007,40,17108,234
"Zachodniopomorskie",2008,47,18191,258
"Zachodniopomorskie",2009,50,17848,280
"Zachodniopomorskie",2010,76,17340,438
"Zachodniopomorskie",2011,70,16002,437
"Zachodniopomorskie",2012,90,15970,564
"Zachodniopomorskie",2013,59,15425,382
"Zachodniopomorskie",2014,62,15530,399
"Zachodniopomorskie",2015,70,15088,464
"Zachodniopomorskie",2016,142,15688,905
"Zachodniopomorskie",2017,30,16276,184
"Zachodniopomorskie",2018,45,15389,292
"Zachodniopomorskie",2019,47,14614,322
"Zachodniopomorskie",2020,19,13730,138
"Zachodniopomorskie",2021,82,12850,638
"Zachodniopomorskie",2022,61,11654,523
"Zachodniopomorskie",2023,80,10447,766
"Łódzkie",2007,64,23869,268
"Łódzkie",2008,69,25512,270
"Łódzkie",2009,62,26052,238
"Łódzkie",2010,61,25526,239
"Łódzkie",2011,68,23952,284
"Łódzkie",2012,79,23851,331
"Łódzkie",2013,52,22420,232
"Łódzkie",2014,51,22704,225
"Łódzkie",2015,57,22113,258
"Łódzkie",2016,78,22794,342
"Łódzkie",2017,75,23782,315
"Łódzkie",2018,31,23017,135
"Łódzkie",2019,29,21644,134
"Łódzkie",2020,25,20891,120
"Łódzkie",2021,36,19567,184
"Łódzkie",2022,21,18163,116
"Łódzkie",2023,32,16383,195
"Śląskie",2007,75,43858,171
"Śląskie",2008,108,46994,230
"Śląskie",2009,90,47860,188
"Śląskie",2010,88,47814,184
"Śląskie",2011,87,44803,194
"Śląskie",2012,72,44565,162
"Śląskie",2013,90,42829,210
"Śląskie",2014,100,42720,234
"Śląskie",2015,102,41611,245
"Śląskie",2016,74,42742,173
"Śląskie",2017,48,44971,107
"Śląskie",2018,56,42596,131
"Śląskie",2019,50,40508,123
"Śląskie",2020,80,38151,210
"Śląskie",2021,65,34736,187
"Śląskie",2022,75,31597,237
"Śląskie",2023,76,27641,275
"Świętokrzyskie",2007,16,11971,134
"Świętokrzyskie",2008,18,12736,141
"Świętokrzyskie",2009,10,12741,78
"Świętokrzyskie",2010,16,12445,129
"Świętokrzyskie",2011,18,11600,155
"Świętokrzyskie",2012,15,11510,130
"Świętokrzyskie",2013,20,10720,187
"Świętokrzyskie",2014,20,10756,186
"Świętokrzyskie",2015,6,10579,57
"Świętokrzyskie",2016,8,10610,75
"Świętokrzyskie",2017,10,10915,92
"Świętokrzyskie",2018,6,10721,56
"Świętokrzyskie",2019,9,10220,88
"Świętokrzyskie",2020,10,9488,105
"Świętokrzyskie",2021,8,8717,92
"Świętokrzyskie",2022,7,8157,86
"Świętokrzyskie",2023,8,7238,111
