"","author","coauthor","count"
"319","Grzegorzewski P","Kacprzyk J",1
"320","Grzegorzewski P","Kochański A",1
"321","Grzegorzewski P","Kozak A",1
"322","Grzegorzewski P","Kołacz A",2
"323","Grzegorzewski P","Lubiano M",1
"324","Grzegorzewski P","Mesiar R",1
"325","Grzegorzewski P","Nasir M",1
"326","Grzegorzewski P","Niemyska W",2
"327","Grzegorzewski P","Ostrycharz M",1
"328","Grzegorzewski P","Parchami A",1
"329","Grzegorzewski P","Pękala B",1
"330","Grzegorzewski P","Romaniuk M",5
"331","Grzegorzewski P","Sadollah A",1
"332","Grzegorzewski P","Szymanowski H",1
"333","Grzegorzewski P","Trutschnig W",1
"334","Grzegorzewski P","Yeganehmanesh S",2
"335","Grzegorzewski P","Yoon J",2
"336","Grzegorzewski P","Zacharczuk M",1
"337","Grzegorzewski P","Ładyżyński P",3
"338","Grzenda M","Beeneken T",2
"339","Grzenda M","Bifet A",1
"340","Grzenda M","Borowik G",1
"341","Grzenda M","Brzozowski Ł",1
"342","Grzenda M","Bustillo A",6
"343","Grzenda M","Ciurana J",2
"344","Grzenda M","Filasiak R",1
"345","Grzenda M","Fuchs L",2
"346","Grzenda M","Golik P",1
"347","Grzenda M","Gębski W",1
"348","Grzenda M","Herodotou H",1
"349","Grzenda M","Kaczmarski K",1
"350","Grzenda M","Kaźmierczak S",1
"351","Grzenda M","Kobos M",1
"352","Grzenda M","Kourtellis N",1
"353","Grzenda M","Kunicki R",3
"354","Grzenda M","Kwasiborska K",1
"355","Grzenda M","Legierski J",3
"356","Grzenda M","Leśniewski M",1
"357","Grzenda M","Luckner M",8
"358","Grzenda M","Macukow B",4
"359","Grzenda M","Mańdziuk J",1
"360","Grzenda M","Niedźwiedzki P",1
"361","Grzenda M","Quintana G",1
"362","Grzenda M","Sienkiewicz E",1
"363","Grzenda M","Teixidor D",1
"364","Grzenda M","Wawrzyniak P",1
"365","Grzenda M","Wrona P",3
"366","Grzenda M","Wronowski N",1
"367","Grzenda M","Zaremba T",1
"368","Grzenda M","Zawistowski P",2
"369","Grzenda M","Łysak A",1
"370","Górka P","Adamowicz T",2
"371","Górka P","Alvarado R",1
"372","Górka P","Bandaliyev R",3
"373","Górka P","Bartkowski K",1
"374","Górka P","Bies P",3
"375","Górka P","Chełmiński K",1
"376","Górka P","Dudziński M",2
"377","Górka P","Dybowski M",1
"378","Górka P","Dymek M",1
"379","Górka P","Gaczkowski M",6
"380","Górka P","Ghorbanalizadeh A",1
"381","Górka P","Giga Y",3
"382","Górka P","Guliyev V",1
"383","Górka P","Hajłasz P",1
"384","Górka P","Karak N",2
"385","Górka P","Kostrzewa T",5
"386","Górka P","Kubica A",1
"387","Górka P","Kurek A",1
"388","Górka P","Lazarte E",1
"389","Górka P","Lefelelbajn P",1
"390","Górka P","Macios A",2
"391","Górka P","Makuch K",1
"392","Górka P","Pons D",6
"393","Górka P","Pośpiech P",1
"394","Górka P","Prado H",6
"395","Górka P","Rafeiro H",2
"396","Górka P","Reyes E",10
"397","Górka P","Ruiz C",1
"398","Górka P","Rybka P",3
"399","Górka P","Sanchiz M",1
"400","Górka P","Sawano Y",1
"401","Górka P","Słabuszewski A",3
"402","Górka P","Trujillo J",1
"403","Gągolewski M","Bartoszuk M",4
"404","Gągolewski M","Beliakov G",6
"405","Gągolewski M","Boczek M",1
"406","Gągolewski M","Cena A",9
"407","Gągolewski M","Coroianu L",2
"408","Gągolewski M","Geras A",2
"409","Gągolewski M","Grzegorzewski P",7
"410","Gągolewski M","James S",6
"411","Gągolewski M","Kaluszka M",1
"412","Gągolewski M","Lasek J",2
"413","Gągolewski M","Mesiar R",2
"414","Gągolewski M","Okolewski A",1
"415","Gągolewski M","Siudem G",5
"416","Gągolewski M","Wu J",1
"417","Gągolewski M","Żogała B",2
"418","Homenda W","Chang J",1
"419","Homenda W","He Q",1
"420","Homenda W","Jastrzębska A",21
"421","Homenda W","Lesiński W",2
"422","Homenda W","Li F",1
"423","Homenda W","Macukow B",1
"424","Homenda W","Matusiewicz Z",1
"425","Homenda W","Mosquera C",1
"426","Homenda W","Mossakowski K",1
"427","Homenda W","Napoles G",2
"428","Homenda W","Ouyang C",2
"429","Homenda W","Pedrycz W",17
"430","Homenda W","Rybnik M",1
"431","Homenda W","Sitarek T",1
"432","Homenda W","Sumara R",2
"433","Homenda W","Vanhoof K",2
"434","Homenda W","Walasek K",1
"435","Homenda W","Wang X",2
"436","Homenda W","Wang Y",4
"437","Homenda W","Wesołowski P",1
"438","Homenda W","Wrzesień M",6
"439","Homenda W","Yang F",1
"440","Homenda W","Yu F",9
"441","Jakubowski J","Bielecki T",9
"442","Jakubowski J","Jeanblanc M",1
"443","Jakubowski J","Niewęgłowski M",16
"444","Jakubowski J","Pytel A",1
"445","Jakubowski J","Wiśniewolski M",1
"446","Janeczko S","Domitrz W",4
"447","Janeczko S","Fukuda T",5
"448","Janeczko S","Giblin P",3
"449","Janeczko S","Ishikawa G",3
"450","Janeczko S","Jelonek Z",2
"451","Janeczko S","Król Z",1
"452","Janeczko S","Nishimura T",1
"453","Janeczko S","Rios P",1
"454","Janeczko S","Ruas M",3
"455","Janeczko S","Skowron B",1
"456","Janeczko S","Zając M",1
"457","Janeczko S","Zhitomirskii M",1
"458","Jastrzębska A","Bartak J",4
"459","Jastrzębska A","Bello M",1
"460","Jastrzębska A","Bier A",1
"461","Jastrzębska A","Bilski J",3
"462","Jastrzębska A","Burczaniuk M",1
"463","Jastrzębska A","Cisłak A",1
"464","Jastrzębska A","Espinosa M",1
"465","Jastrzębska A","Gajewski M",2
"466","Jastrzębska A","Grau I",4
"467","Jastrzębska A","Hoitsma F",1
"468","Jastrzębska A","Homenda W",21
"469","Jastrzębska A","Hryniewicz O",2
"470","Jastrzębska A","Jabłoński Ł",1
"471","Jastrzębska A","Jastrzębska W",1
"472","Jastrzębska A","Knoben A",1
"473","Jastrzębska A","Kozakiewicz M",2
"474","Jastrzębska A","Lesiński W",1
"475","Jastrzębska A","Li F",1
"476","Jastrzębska A","Matusiewicz Z",1
"477","Jastrzębska A","Menon S",1
"478","Jastrzębska A","Mosquera C",1
"479","Jastrzębska A","Napoles G",10
"480","Jastrzębska A","Olszewski P",1
"481","Jastrzębska A","Opara K",2
"482","Jastrzębska A","Owsiński J",2
"483","Jastrzębska A","Pedrycz W",11
"484","Jastrzębska A","Salgueiro Y",6
"485","Jastrzębska A","Tabassum N",1
"486","Jastrzębska A","Vanhoof K",3
"487","Jastrzębska A","Wang X",2
"488","Jastrzębska A","Wang Y",4
"489","Jastrzębska A","Wrzesień M",2
"490","Jastrzębska A","Yu F",6
"491","Jastrzębska A","Zadrożny S",2
"492","Jastrzębska A","Zwierzchowski T",1
"493","Jastrzębska A","Świderski S",1
"494","Lonc Z","Bondy A",1
"495","Lonc Z","Bosek B",1
"496","Lonc Z","Bryś K",1
"497","Lonc Z","Czerwiński S",1
"498","Lonc Z","Dębski M",7
"499","Lonc Z","Grytczuk J",1
"500","Lonc Z","Jaromczyk J",1
"501","Lonc Z","Naroski P",3
"502","Lonc Z","Okrasa K",1
"503","Lonc Z","Petryshyn N",2
"504","Lonc Z","Piecyk M",1
"505","Lonc Z","Pszczoła M",1
"506","Lonc Z","Rzążewski P",7
"507","Lonc Z","Truszczyński M",4
"508","Lonc Z","Warno K",1
"509","Luckner M","Borowik G",1
"510","Luckner M","Brzozowski Ł",1
"511","Luckner M","Bukowski M",1
"512","Luckner M","Filasiak R",1
"513","Luckner M","Gad M",2
"514","Luckner M","Grzenda M",8
"515","Luckner M","Górak R",3
"516","Luckner M","Kaczmarski K",1
"517","Luckner M","Kaźmierczak S",1
"518","Luckner M","Kobos M",1
"519","Luckner M","Krzemińska I",1
"520","Luckner M","Kunicki R",2
"521","Luckner M","Legierski J",2
"522","Luckner M","Mańdziuk J",1
"523","Luckner M","Mykhalevych I",1
"524","Luckner M","Okulewicz M",1
"525","Luckner M","Sobkowiak P",2
"526","Luckner M","Wachulec M",1
"527","Luckner M","Wawrzyniak P",1
"528","Luckner M","Wilkowski A",1
"529","Luckner M","Wrona P",3
"530","Luckner M","Zawistowski P",1
"531","Luckner M","Łysak A",3
"532","Mańdziuk J","Abbass H",2
"533","Mańdziuk J","An B",1
"534","Mańdziuk J","Białas M",3
"535","Mańdziuk J","Bondi E",1
"536","Mańdziuk J","Borowik G",1
"537","Mańdziuk J","Buczyński R",1
"538","Mańdziuk J","Czupyt J",1
"539","Mańdziuk J","Dendek C",3
"540","Mańdziuk J","Gandomi A",1
"541","Mańdziuk J","Ganzha M",1
"542","Mańdziuk J","Goh B",1
"543","Mańdziuk J","Gong X",1
"544","Mańdziuk J","Grajek F",1
"545","Mańdziuk J","Grodzicki R",1
"546","Mańdziuk J","Grzenda M",1
"547","Mańdziuk J","Gupta A",2
"548","Mańdziuk J","Jaruszewicz M",3
"549","Mańdziuk J","Karwowski J",6
"550","Mańdziuk J","Kasztelanic R",1
"551","Mańdziuk J","Kaźmierczak S",3
"552","Mańdziuk J","Khorshidi M",1
"553","Mańdziuk J","Kim K",1
"554","Mańdziuk J","Kobos M",3
"555","Mańdziuk J","Kowalik S",1
"556","Mańdziuk J","Kupis P",1
"557","Mańdziuk J","Kusiak M",1
"558","Mańdziuk J","Lewy D",3
"559","Mańdziuk J","Luckner M",1
"560","Mańdziuk J","Małkiński M",6
"561","Mańdziuk J","Merrick K",1
"562","Mańdziuk J","Mirończuk M",2
"563","Mańdziuk J","Mossakowsi K",1
"564","Mańdziuk J","Mossakowski K",2
"565","Mańdziuk J","Mycka J",3
"566","Mańdziuk J","Nikoo M",1
"567","Mańdziuk J","Okulewicz M",5
"568","Mańdziuk J","Ong Y",3
"569","Mańdziuk J","Paprzycki M",1
"570","Mańdziuk J","Park H",1
"571","Mańdziuk J","Perrault A",2
"572","Mańdziuk J","Pleszczyński M",1
"573","Mańdziuk J","Połap D",2
"574","Mańdziuk J","Pu Y",1
"575","Mańdziuk J","Quek C",1
"576","Mańdziuk J","Ravindran B",1
"577","Mańdziuk J","Skonieczka K",1
"578","Mańdziuk J","Suchan J",1
"579","Mańdziuk J","Tambe M",1
"580","Mańdziuk J","Tomaszewska P",1
"581","Mańdziuk J","Venugopal A",1
"582","Mańdziuk J","Walczak P",1
"583","Mańdziuk J","Walędzik K",5
"584","Mańdziuk J","Wołosiuk J",1
"585","Mańdziuk J","Woźniak M",3
"586","Mańdziuk J","Xie X",1
"587","Mańdziuk J","Xue X",1
"588","Mańdziuk J","Yao J",1
"589","Mańdziuk J","Yazdani D",1
"590","Mańdziuk J","Zaborski M",7
"591","Mańdziuk J","Zakrzewski G",1
"592","Mańdziuk J","Zhang H",1
"593","Mańdziuk J","Zhang Y",1
"594","Mańdziuk J","Zielonka A",1
"595","Mańdziuk J","Świechowski M",7
"596","Mańdziuk J","Żelaszczyk M",3
"597","Mańdziuk J","Żychowski A",22
"598","Mielniczuk J","Borkowski P",1
"599","Mielniczuk J","Branicki W",1
"600","Mielniczuk J","Bryk A",1
"601","Mielniczuk J","Furmańczyk K",2
"602","Mielniczuk J","Kołodziejek B",1
"603","Mielniczuk J","Kubkowski M",6
"604","Mielniczuk J","Kłopotek R",1
"605","Mielniczuk J","Pośpiech E",1
"606","Mielniczuk J","Płatek M",1
"607","Mielniczuk J","Rdzanowski M",1
"608","Mielniczuk J","Rejchel W",2
"609","Mielniczuk J","Szymanowski H",1
"610","Mielniczuk J","Teisseyre P",14
"611","Mielniczuk J","Wawrzeńczyk A",4
"612","Mielniczuk J","Wojtyś M",2
"613","Mielniczuk J","Łazęcka M",7
"614","Okrasa K","Bellitto T",1
"615","Okrasa K","Bonamy M",1
"616","Okrasa K","Bożyk Ł",2
"617","Okrasa K","Chen H",2
"618","Okrasa K","Derbisz J",1
"619","Okrasa K","Dębski M",1
"620","Okrasa K","Ganian R",2
"621","Okrasa K","Goedgebeur J",1
"622","Okrasa K","Groenland C",1
"623","Okrasa K","Grzesik A",1
"624","Okrasa K","Hamm T",2
"625","Okrasa K","Hatzel M",1
"626","Okrasa K","Jansen B",2
"627","Okrasa K","Jooken J",1
"628","Okrasa K","Korchemna V",2
"629","Okrasa K","Krawczyk T",1
"630","Okrasa K","Li S",1
"631","Okrasa K","Lima P",1
"632","Okrasa K","Lonc Z",1
"633","Okrasa K","Majewski K",2
"634","Okrasa K","Masarik T",3
"635","Okrasa K","Masarikova J",1
"636","Okrasa K","Milanič M",1
"637","Okrasa K","Muršič P",1
"638","Okrasa K","Novotna J",5
"639","Okrasa K","Piecyk M",2
"640","Okrasa K","Pieterse A",2
"641","Okrasa K","Pilipczuk M",5
"642","Okrasa K","Rzążewski P",16
"643","Okrasa K","Schaudt O",1
"644","Okrasa K","Scott A",1
"645","Okrasa K","Seymour P",1
"646","Okrasa K","Simonov K",2
"647","Okrasa K","Sokołowski M",2
"648","Okrasa K","Sorge M",1
"649","Okrasa K","Spirkl S",1
"650","Okrasa K","Štorgel K",1
"651","Paprzycki M","Adasiewicz R",1
"652","Paprzycki M","Badica A",6
"653","Paprzycki M","Badica C",10
"654","Paprzycki M","Baszczyński K",1
"655","Paprzycki M","Bogacka K",2
"656","Paprzycki M","Bolanowski M",3
"657","Paprzycki M","Byczyńska A",1
"658","Paprzycki M","Cabri G",1
"659","Paprzycki M","Czerniak J",1
"660","Paprzycki M","Danilenka A",3
"661","Paprzycki M","Denisiuk A",2
"662","Paprzycki M","Domańska A",1
"663","Paprzycki M","Drozdowicz M",2
"664","Paprzycki M","Dymarski P",1
"665","Paprzycki M","Dąbrowska A",2
"666","Paprzycki M","Ewald D",1
"667","Paprzycki M","Ferrando A",1
"668","Paprzycki M","Fidanova S",5
"669","Paprzycki M","Filarski P",1
"670","Paprzycki M","Fortino G",2
"671","Paprzycki M","Gancarz K",1
"672","Paprzycki M","Ganzha M",56
"673","Paprzycki M","Georgiev K",1
"674","Paprzycki M","Gepner P",1
"675","Paprzycki M","Harizanov S",2
"676","Paprzycki M","Hołda P",1
"677","Paprzycki M","Ivanovic M",5
"678","Paprzycki M","Jaworska T",1
"679","Paprzycki M","Kobus M",2
"680","Paprzycki M","Kocot B",1
"681","Paprzycki M","Kolasa D",1
"682","Paprzycki M","Krzywda M",1
"683","Paprzycki M","Krzyżanowski S",3
"684","Paprzycki M","Kumar M",1
"685","Paprzycki M","Kuntur S",2
"686","Paprzycki M","Kurek M",2
"687","Paprzycki M","Kutka M",1
"688","Paprzycki M","Kędzierska M",2
"689","Paprzycki M","Lacalle I",1
"690","Paprzycki M","Lewy D",1
"691","Paprzycki M","Lirkov I",6
"692","Paprzycki M","Mamatsashvili G",2
"693","Paprzycki M","Mangal D",1
"694","Paprzycki M","Małkiński M",1
"695","Paprzycki M","Mańdziuk J",1
"696","Paprzycki M","Mesjasz M",1
"697","Paprzycki M","Moroz L",1
"698","Paprzycki M","Nalinaksh K",1
"699","Paprzycki M","Natesan S",1
"700","Paprzycki M","Niedziela P",2
"701","Paprzycki M","Okrasa M",1
"702","Paprzycki M","Olas T",1
"703","Paprzycki M","Olczak W",1
"704","Paprzycki M","Paszkiewicz A",3
"705","Paprzycki M","Pawlowski W",3
"706","Paprzycki M","Peregud G",1
"707","Paprzycki M","Pniewski R",1
"708","Paprzycki M","Ponichtera K",1
"709","Paprzycki M","Rachman M",1
"710","Paprzycki M","Rachwał K",3
"711","Paprzycki M","Saad E",1
"712","Paprzycki M","Samriya J",1
"713","Paprzycki M","Savaglio C",2
"714","Paprzycki M","Sawicki J",7
"715","Paprzycki M","Singh J",1
"716","Paprzycki M","Sowiński P",7
"717","Paprzycki M","Spytek M",2
"718","Paprzycki M","Srinivasan N",1
"719","Paprzycki M","Stankevich K",1
"720","Paprzycki M","Szmeja P",4
"721","Paprzycki M","Tomczyk K",1
"722","Paprzycki M","Wasielewska K",5
