"placeID","name","category"
"ChIJkZAA4E7MHkcR_EM6GQnjpwE","Metro Stadion Narodowy","transport"
"ChIJlXJwlFnNHkcRA6tM8KnHtWU","Kawiarnia","entertainment"
"ChIJlZ_fnpD8PEcRXcrFe272xVw","friends_house_z","entertainment"
"ChIJlf4F833MHkcRdbBuXPlZIGM","Bar Paragraf","restaurants"
"ChIJlzWnN70tGUcRsLTLGMOmGdc","Metro Kabaty","transport"
"ChIJm5QPjvXMHkcR5k9SNsdalN4","Kawiarnia Nowy Świat","restaurants"
"ChIJmRc8UO36PEcRHXF45T5lolg","Lidl","shopping"
"ChIJm_uSxY7LHkcRfCl8PScvsxI","Arkadia","shopping"
"ChIJmeh-3zvKHkcRHO-EinaD5QY","bus_stop2","transport"
"ChIJnYDN2s8yGUcRMTeG8Lt_WEI","Metro Wilanowska","transport"
"ChIJp3_RApwtGUcRjBeO4SldHUI","Rosmmann","shopping"
"ChIJp8naBVXKHkcRvKqgvYDj5Qk","Bazarek","shopping"
"ChIJpVnLMgAtGkcR7wuLb3jl0SA","Lidl","shopping"
"ChIJpewrl1z6PEcRZxNO8-XdDeU","Plaza","shopping"
"ChIJq6ECnInNHkcRFpKQ1cTvVus","Klinika","shopping"
"ChIJs7uMyb3NHkcRHeicsfSRx1U","Kebab Francuska","restaurants"
"ChIJsQ4Jz25JGUcRMjuUjnYlFLI","Podkowa Leśna","home"
"ChIJsQtqT0rTG0cRVbB818vuHhw","Działka","home"
"ChIJsWoMJY_LHkcRtyS7XlHfTvs","Kino Arkadia","entertainment"
"ChIJt5dWoVfLHkcRtXMPWXGA12o","Blue City","shopping"
"ChIJtT6XOGPMHkcRapL1TUAZ7jM","Kino Muranów","university"
"ChIJtfiare7MHkcRU3S1ixSpcnM","pizza_politechnika","restaurants"
"ChIJv6t_JJAyGUcRUJVvd5pu6ps","Biedronka (Stoklosy)","shopping"
"ChIJv9rU8xTNHkcRnbkBic0KO3I","Coffedesk Wilcza","restaurants"
"ChIJwWU9wvTLHkcREjipU-pAH0E","Park","entertainment"
"ChIJxeIYhvTMHkcRWA4c20C4GPQ","Kebab","restaurants"
"ChIJxxzCYDvxPEcRVDgccWpaw0w","grocery","shopping"
"ChIJy0GkjZgrGUcR71OfCIsukDk","Lump Otwock","shopping"
"ChIJyX8PvNzLHkcRQJ1NA5O5Osg","Stare Bielany","entertainment"
"ChIJydRnTCtIGUcRIFzn607Fu74","Dom Podkowa Leśna","home"
"ChIJz4nvCvD6PEcRV7RHqH3mfTM","gym","entertainment"
"ChIJzVd-refMHkcRnPtRuz9z264","Mod","restaurants"
"ChIJZV81h-jMHkcRFp6pneXHQcY","Rotunda","shopping"
"ChIJcUoPXu_MHkcRvVPPv1ZOQ5M","LOS 17","entertainment"
"ChIJqyhIh8TMHkcRuXzn918utlQ","LOS 17","entertainment"
"ChIJz19SdfPMHkcRD2dcfszVSy4","Rotunda","shopping"
"ChIJj1FLqc_MHkcR4HsjgGwILO4","Gmach Stary Technologiczny","university"
"ChIJX_siLenMHkcRGbyAgRgVZ8k","Gmach Stary Technologiczny","university"
"ChIJNWITtEzNHkcRkRfLTfBWr3M","Kebab Francuska","restaurants"
