placeID,name,category
ChIJ4XEPbe7MHkcRE7nzOMzeXR0,Coffedesk Wilcza,restaurants
ChIJrdSaPJ_NHkcRNi17qvYtZew,Kebab Chemielna,restaurants
ChIJdS76AO_MHkcRjdJlOmL53TY,Pracownia Vintage,shopping
ChIJsaxq1ozMHkcR3eCCfLpqqNg,Kinoteka PKIN,entertainment
ChIJ1W6yH2QHbUcRpptHA4HOf5c,Eurospar,shopping
ChIJx2oWgoIHbUcRMvVm3Lylq84,Resselpark,entertainment
ChIJ_WDSuJUHbUcR2QUpvg7vqR4,Rathaus,entertainment
ChIJ0Sj7j6EHbUcR1Fq6yLU4cEY,Pub w wiedniu,restaurants
ChIJm74aR6tVbEcRS5vSjRBSeiQ,Lotnisko w Wiedniu,transport
ChIJ3-o1GhvNHkcRz9bt3hynnbc,happa to mame,restaurants
ChIJm6KCZnMHbUcRF0kfTP5M-HY,Sklep w wiedniu,shopping
ChIJs1jRHenMHkcRYbW211PIixg,EITI,university
ChIJ8UjcIJ2lHkcRNaXnnGJeBvM,Lotnisko Modlin,transport
