"country","year","mean_weekly","median_weekly","max_weekly"
"Liechtenstein","2020",25.7272727272727,0,256
"Liechtenstein","2021",38.8653846153846,3,460
"Liechtenstein","2022",143.509615384615,10.5,1221
"Liechtenstein","2023",2.6,0,26
"Lithuania","2020",1710.18181818182,72,19481
"Lithuania","2021",4089.73076923077,315,36188
"Lithuania","2022",9021.65384615385,299,234377
"Lithuania","2023",433.404255319149,35.5,5907
"Luxembourg","2020",442.1,20.5,3633
"Luxembourg","2021",609.432692307692,68,6642
"Luxembourg","2022",2538.75961538462,534,18413
"Luxembourg","2023",357.571428571429,170.5,1818
"Malta","2020",156.522727272727,14.5,925
"Malta","2021",406.519230769231,19,8118
"Malta","2022",588.365384615385,53.5,5468
"Malta","2023",47.0851063829787,8.5,241
"Netherlands","2020",9348.42222222222,681.5,78088
"Netherlands","2021",22834.2211538462,2448,154548
"Netherlands","2022",51718.6634615385,2619,626302
"Netherlands","2023",1175.09756097561,403,4627
"Norway","2020",566.130434782609,50,4090
"Norway","2021",3401.74038461538,622,34164
"Norway","2022",11654.1739130435,556.5,138517
"Norway","2023",481.106382978723,400,1787
"Poland","2020",15046.0454545455,2065.5,166613
"Poland","2021",27687.8365384615,2202,194006
"Poland","2022",22042.2307692308,1591,338793
"Poland","2023",2056.84042553192,88,20461
"Portugal","2020",4534.19565217391,531,36873
"Portugal","2021",9937.50961538462,2622,149545
"Portugal","2022",39682.3846153846,1378,405274
"Portugal","2023",887.021276595745,345,4332
"Romania","2020",7390.75555555556,1143.5,57962
"Romania","2021",11540.2788461538,1226,103685
"Romania","2022",14485.0384615385,1452.5,203980
"Romania","2023",1994.48936170213,241,13896
"Slovakia","2020",2958.15053763441,56,42814
"Slovakia","2021",9418.59615384615,578.5,64179
"Slovakia","2022",11184.2403846154,626.5,137263
"Slovakia","2023",236.340425531915,11.5,1591
"Slovenia","2020",1466.93181818182,70.5,12106
"Slovenia","2021",3314.41346153846,196,22694
"Slovenia","2022",8111.375,960,98826
"Slovenia","2023",451.053191489362,27,5940
"Spain","2020",21160.7244897959,2324,144877
"Spain","2021",47228.5673076923,7067.5,793378
"Spain","2022",66379,7643,956506
"Spain","2023",4101.03846153846,983,12663
"Sweden","2020",5138.53260869565,651,46177
"Sweden","2021",8559.84615384615,1079,59341
"Sweden","2022",12885.7692307692,814.5,265043
"Sweden","2023",608.553191489362,211,5729
