IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,AND,Andorra,Year,2019,true,,,,,,,,,,,,,11.8,,,,,,11.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2019,true,,,,,,,,,,,,,113.7,,,,,,113.7,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,SUR,Suriname,Year,2019,true,,,,,,,,,,,,,11.97,,,,,,12.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,MWI,Malawi,Year,2019,true,,,,,,,,,,,,,12.52,,,,,,12.5,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,TGO,Togo,Year,2019,true,,,,,,,,,,,,,12.78,,,,,,12.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2019,true,,,,,,,,,,,,,120.1,,,,,,120.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2019,true,,,,,,,,,,,,,121.6,,,,,,121.6,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2019,true,,,,,,,,,,,,,129.9,,,,,,129.9,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2019,true,,,,,,,,,,,,,13.61,,,,,,13.6,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,CYP,Cyprus,Year,2019,true,,,,,,,,,,,,,131,,,,,,131.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2019,true,,,,,,,,,,,,,138.9,,,,,,138.9,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2019,true,,,,,,,,,,,,,143.1,,,,,,143.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2019,true,,,,,,,,,,,,,145,,,,,,145.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,EST,Estonia,Year,2019,true,,,,,,,,,,,,,145.9,,,,,,145.9,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,LVA,Latvia,Year,2019,true,,,,,,,,,,,,,147.1,,,,,,147.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2019,true,,,,,,,,,,,,,148,,,,,,148.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,GUY,Guyana,Year,2019,true,,,,,,,,,,,,,15.23,,,,,,15.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,true,,,,,,,,,,,,,15.53,,,,,,15.5,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2019,true,,,,,,,,,,,,,151.7,,,,,,151.7,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,GHA,Ghana,Year,2019,true,,,,,,,,,,,,,161.3,,,,,,161.3,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2019,true,,,,,,,,,,,,,167.2,,,,,,167.2,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2019,true,,,,,,,,,,,,,179,,,,,,179.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,,,,,,,,,,,,,182,,,,,,182.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2019,true,,,,,,,,,,,,,183.4,,,,,,183.4,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,DEU,Germany,Year,2019,true,,,,,,,,,,,,,19396,,,,,,19 395.9,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,true,,,,,,,,,,,,,191.4,,,,,,191.4,,,EN,2023-04-19T22:00:00.000Z
