outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Cocaine Use in the Past Year,12 or Older,2004-06,"Utah",0.0221355417,0.0173489053,0.0282049248
Cocaine Use in the Past Year,12 to 17,2004-06,"Utah",0.0169787876,0.0117765302,0.0244223378
Cocaine Use in the Past Year,18 or Older,2004-06,"Utah",0.0228443419,0.0175706721,0.0296530779
Cocaine Use in the Past Year,18 to 25,2004-06,"Utah",0.0504255496,0.0384950138,0.0658006043
Cocaine Use in the Past Year,26 or Older,2004-06,"Utah",0.0153204132,0.0104351562,0.0224408567
Cocaine Use in the Past Year,12 or Older,2004-06,"Utah Bear River, Northeastern, Summit, Tooele, and Wasatch",0.0218423152,0.0143925147,0.0330190688
Cocaine Use in the Past Year,12 to 17,2004-06,"Utah Bear River, Northeastern, Summit, Tooele, and Wasatch",0.0173135664,0.0096989509,0.0307209372
Cocaine Use in the Past Year,18 or Older,2004-06,"Utah Bear River, Northeastern, Summit, Tooele, and Wasatch",0.0224974655,0.0143847075,0.0350231106
Cocaine Use in the Past Year,18 to 25,2004-06,"Utah Bear River, Northeastern, Summit, Tooele, and Wasatch",0.0530872652,0.0326165964,0.0852731331
Cocaine Use in the Past Year,26 or Older,2004-06,"Utah Bear River, Northeastern, Summit, Tooele, and Wasatch",0.0139411049,0.007677944,0.025183679
Cocaine Use in the Past Year,12 or Older,2004-06,"Utah Central, Four Corners, San Juan, and Southwest",0.0171606634,0.0113787956,0.0258037696
Cocaine Use in the Past Year,12 to 17,2004-06,"Utah Central, Four Corners, San Juan, and Southwest",0.0154619655,0.0084388416,0.0281639824
Cocaine Use in the Past Year,18 or Older,2004-06,"Utah Central, Four Corners, San Juan, and Southwest",0.0174044727,0.0111618683,0.0270429555
Cocaine Use in the Past Year,18 to 25,2004-06,"Utah Central, Four Corners, San Juan, and Southwest",0.0455267188,0.0279500847,0.0733228039
Cocaine Use in the Past Year,26 or Older,2004-06,"Utah Central, Four Corners, San Juan, and Southwest",0.0110963854,0.0060957119,0.0201163773
Cocaine Use in the Past Year,12 or Older,2004-06,"Utah Davis County",0.022697661,0.015041251,0.0341164011
Cocaine Use in the Past Year,12 to 17,2004-06,"Utah Davis County",0.0223879408,0.0122633777,0.0405283032
Cocaine Use in the Past Year,18 or Older,2004-06,"Utah Davis County",0.0227489254,0.014497016,0.0355286037
Cocaine Use in the Past Year,18 to 25,2004-06,"Utah Davis County",0.0534918367,0.0333022383,0.0848471425
Cocaine Use in the Past Year,26 or Older,2004-06,"Utah Davis County",0.0151443297,0.0082255872,0.0277199408
