outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,18 to 25,2006-08,"Alaska Northern",0.1999138934,0.1562443046,0.2521415524
Marijuana Use in the Past Month,26 or Older,2006-08,"Alaska Northern",0.0766277881,0.0541875107,0.1073067569
Marijuana Use in the Past Month,12 or Older,2006-08,"Alaska South Central",0.0838476336,0.0643733952,0.1085298402
Marijuana Use in the Past Month,12 to 17,2006-08,"Alaska South Central",0.0848724132,0.0615740784,0.1158976021
Marijuana Use in the Past Month,18 or Older,2006-08,"Alaska South Central",0.0837107505,0.063121653,0.1102255011
Marijuana Use in the Past Month,18 to 25,2006-08,"Alaska South Central",0.2014444023,0.1540511217,0.2589548344
Marijuana Use in the Past Month,26 or Older,2006-08,"Alaska South Central",0.0634271245,0.0439259163,0.0907641151
Marijuana Use in the Past Month,12 or Older,2006-08,"Arizona",0.057509083,0.0483110673,0.0683325822
Marijuana Use in the Past Month,12 to 17,2006-08,"Arizona",0.0657924197,0.0531957377,0.0811164248
Marijuana Use in the Past Month,18 or Older,2006-08,"Arizona",0.0565443523,0.0468578306,0.0680902387
Marijuana Use in the Past Month,18 to 25,2006-08,"Arizona",0.1606741121,0.1354456383,0.1895713305
Marijuana Use in the Past Month,26 or Older,2006-08,"Arizona",0.0387180225,0.0296251882,0.0504565966
Marijuana Use in the Past Month,12 or Older,2006-08,"Arizona Central",0.0574498012,0.0464988021,0.070788413
Marijuana Use in the Past Month,12 to 17,2006-08,"Arizona Central",0.0661916843,0.0500525986,0.0870577841
Marijuana Use in the Past Month,18 or Older,2006-08,"Arizona Central",0.0564290146,0.0449711577,0.0705903559
Marijuana Use in the Past Month,18 to 25,2006-08,"Arizona Central",0.157147679,0.1276233234,0.1919989627
Marijuana Use in the Past Month,26 or Older,2006-08,"Arizona Central",0.0395967772,0.0287500868,0.0543068414
Marijuana Use in the Past Month,12 or Older,2006-08,"Arizona South A",0.0609106386,0.0444554518,0.0829281082
Marijuana Use in the Past Month,12 to 17,2006-08,"Arizona South A",0.0675079836,0.046373943,0.0972908421
Marijuana Use in the Past Month,18 or Older,2006-08,"Arizona South A",0.0602059226,0.0433351147,0.0830743636
Marijuana Use in the Past Month,18 to 25,2006-08,"Arizona South A",0.1652966344,0.1209466712,0.2218058346
Marijuana Use in the Past Month,26 or Older,2006-08,"Arizona South A",0.0415560572,0.0272788037,0.0628231688
Marijuana Use in the Past Month,12 or Older,2006-08,"Arizona Rural North",0.0577655801,0.0413613312,0.080132053
Marijuana Use in the Past Month,12 to 17,2006-08,"Arizona Rural North",0.0665593517,0.0444714765,0.0984869877
Marijuana Use in the Past Month,18 or Older,2006-08,"Arizona Rural North",0.0567121222,0.0400242581,0.0797796442
Marijuana Use in the Past Month,18 to 25,2006-08,"Arizona Rural North",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2006-08,"Arizona Rural North",0.0363379773,0.0230875352,0.0567513608
Marijuana Use in the Past Month,12 or Older,2006-08,"Arizona Rural South",0.0532675172,0.0371703329,0.0757871166
Marijuana Use in the Past Month,12 to 17,2006-08,"Arizona Rural South",0.0613988032,0.040867945,0.091262366
Marijuana Use in the Past Month,18 or Older,2006-08,"Arizona Rural South",0.0522572257,0.0358752857,0.0755336851
Marijuana Use in the Past Month,18 to 25,2006-08,"Arizona Rural South",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2006-08,"Arizona Rural South",0.0330264936,0.0204915788,0.0528156987
Marijuana Use in the Past Month,12 or Older,2006-08,"Arkansas",0.0564932366,0.0478523421,0.0665853371
Marijuana Use in the Past Month,12 to 17,2006-08,"Arkansas",0.0628189698,0.0514698345,0.076468851
Marijuana Use in the Past Month,18 or Older,2006-08,"Arkansas",0.0557852791,0.046714408,0.0664946462
Marijuana Use in the Past Month,18 to 25,2006-08,"Arkansas",0.1547942632,0.1320646267,0.1806217899
Marijuana Use in the Past Month,26 or Older,2006-08,"Arkansas",0.0393750473,0.0308037027,0.0502078746
Marijuana Use in the Past Month,12 or Older,2006-08,"Arkansas Catchment Area 8",0.0580306777,0.0430139991,0.0778633052
Marijuana Use in the Past Month,12 to 17,2006-08,"Arkansas Catchment Area 8",0.0626998494,0.0435740086,0.0894355472
Marijuana Use in the Past Month,18 or Older,2006-08,"Arkansas Catchment Area 8",0.0575020861,0.0419816449,0.0782914607
Marijuana Use in the Past Month,18 to 25,2006-08,"Arkansas Catchment Area 8",0.1586840671,0.1174767297,0.2108916464
Marijuana Use in the Past Month,26 or Older,2006-08,"Arkansas Catchment Area 8",0.0424044557,0.0286452577,0.0623484096
Marijuana Use in the Past Month,12 or Older,2006-08,"Arkansas Catchment Area 1",0.057786452,0.0423299822,0.0784245563
Marijuana Use in the Past Month,12 to 17,2006-08,"Arkansas Catchment Area 1",0.0639820358,0.0440256938,0.0921127346
Marijuana Use in the Past Month,18 or Older,2006-08,"Arkansas Catchment Area 1",0.05706537,0.0411458034,0.0786391624
Marijuana Use in the Past Month,18 to 25,2006-08,"Arkansas Catchment Area 1",0.1551659013,0.1144590713,0.2069663515
Marijuana Use in the Past Month,26 or Older,2006-08,"Arkansas Catchment Area 1",0.0392952818,0.0256772787,0.0596931379
Marijuana Use in the Past Month,12 or Older,2006-08,"Arkansas Catchment Area 2",0.0491560017,0.0353861583,0.0679069034
Marijuana Use in the Past Month,12 to 17,2006-08,"Arkansas Catchment Area 2",0.0610570294,0.0411243692,0.0897466468
Marijuana Use in the Past Month,18 or Older,2006-08,"Arkansas Catchment Area 2",0.0480118767,0.0340198934,0.0673573236
Marijuana Use in the Past Month,18 to 25,2006-08,"Arkansas Catchment Area 2",0.1456907098,0.1046872388,0.1991813489
Marijuana Use in the Past Month,26 or Older,2006-08,"Arkansas Catchment Area 2",0.0332451546,0.0214860585,0.0511037749
Marijuana Use in the Past Month,12 or Older,2006-08,"Arkansas Catchment Area 3",0.0580496602,0.042390028,0.0790168964
Marijuana Use in the Past Month,12 to 17,2006-08,"Arkansas Catchment Area 3",0.0614688679,0.0427687285,0.0875971975
Marijuana Use in the Past Month,18 or Older,2006-08,"Arkansas Catchment Area 3",0.0576422361,0.0414000917,0.0797265526
Marijuana Use in the Past Month,18 to 25,2006-08,"Arkansas Catchment Area 3",0.1553483775,0.1139298022,0.2082849497
Marijuana Use in the Past Month,26 or Older,2006-08,"Arkansas Catchment Area 3",0.0405615036,0.0265249781,0.0615562076
Marijuana Use in the Past Month,12 or Older,2006-08,"Arkansas Catchment Area 4",0.0509792633,0.0353001985,0.073094735
Marijuana Use in the Past Month,12 to 17,2006-08,"Arkansas Catchment Area 4",0.0634368544,0.0415716811,0.0956545355
Marijuana Use in the Past Month,18 or Older,2006-08,"Arkansas Catchment Area 4",0.0494954121,0.0336736332,0.0721957551
Marijuana Use in the Past Month,18 to 25,2006-08,"Arkansas Catchment Area 4",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2006-08,"Arkansas Catchment Area 4",0.0357506424,0.0222533312,0.0569575796
Marijuana Use in the Past Month,12 or Older,2006-08,"Arkansas Catchment Area 5",0.0660202928,0.0510077159,0.0850553505
Marijuana Use in the Past Month,12 to 17,2006-08,"Arkansas Catchment Area 5",0.0725810706,0.0512832172,0.101775037
Marijuana Use in the Past Month,18 or Older,2006-08,"Arkansas Catchment Area 5",0.0653302946,0.0498433375,0.0851977682
Marijuana Use in the Past Month,18 to 25,2006-08,"Arkansas Catchment Area 5",0.1746951521,0.1388053698,0.2175207881
Marijuana Use in the Past Month,26 or Older,2006-08,"Arkansas Catchment Area 5",0.0443927735,0.0302684429,0.0646684902
Marijuana Use in the Past Month,12 or Older,2006-08,"Arkansas Catchment Area 6",0.0540558642,0.0377846822,0.0767748164
Marijuana Use in the Past Month,12 to 17,2006-08,"Arkansas Catchment Area 6",0.0532040231,0.0352245863,0.079603375
Marijuana Use in the Past Month,18 or Older,2006-08,"Arkansas Catchment Area 6",0.054151847,0.0373291815,0.0779419572
Marijuana Use in the Past Month,18 to 25,2006-08,"Arkansas Catchment Area 6",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2006-08,"Arkansas Catchment Area 6",0.0379927312,0.0237401548,0.0602736651
Marijuana Use in the Past Month,12 or Older,2006-08,"Arkansas Catchment Area 7",0.0505569922,0.0347340572,0.0730425495
Marijuana Use in the Past Month,12 to 17,2006-08,"Arkansas Catchment Area 7",0.0580454733,0.0376393778,0.0884973343
Marijuana Use in the Past Month,18 or Older,2006-08,"Arkansas Catchment Area 7",0.0496853053,0.033556427,0.0729811017
Marijuana Use in the Past Month,18 to 25,2006-08,"Arkansas Catchment Area 7",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2006-08,"Arkansas Catchment Area 7",0.0365927913,0.0227644857,0.0583198135
Marijuana Use in the Past Month,12 or Older,2006-08,"California",0.0695698782,0.0638277973,0.0757867105
Marijuana Use in the Past Month,12 to 17,2006-08,"California",0.0708243581,0.0630620164,0.0794611382
Marijuana Use in the Past Month,18 or Older,2006-08,"California",0.0694177534,0.063149811,0.076257182
Marijuana Use in the Past Month,18 to 25,2006-08,"California",0.1739336131,0.1604657881,0.188278289
Marijuana Use in the Past Month,26 or Older,2006-08,"California",0.0496613432,0.0428932646,0.0574332658
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 10",0.0949193533,0.0735413954,0.1216954325
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 10",0.0893307893,0.0638245855,0.1236833718
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 10",0.0956060515,0.0733351444,0.1237372253
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 10",0.2442996324,0.1924111998,0.304898128
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 10",0.0646698724,0.0448852794,0.0923321057
Marijuana Use in the Past Month,12 or Older,2006-08,"California LA SPA 1 and 5",0.0813366745,0.0602961689,0.1088687012
Marijuana Use in the Past Month,12 to 17,2006-08,"California LA SPA 1 and 5",0.0810190006,0.0561118678,0.1156276396
Marijuana Use in the Past Month,18 or Older,2006-08,"California LA SPA 1 and 5",0.081369768,0.0597131963,0.1099621418
Marijuana Use in the Past Month,18 to 25,2006-08,"California LA SPA 1 and 5",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2006-08,"California LA SPA 1 and 5",0.0603981347,0.0410831686,0.0879609213
Marijuana Use in the Past Month,12 or Older,2006-08,"California LA SPA 2",0.0608321982,0.0468651092,0.0786185164
Marijuana Use in the Past Month,12 to 17,2006-08,"California LA SPA 2",0.0694226915,0.0503416298,0.0950124886
Marijuana Use in the Past Month,18 or Older,2006-08,"California LA SPA 2",0.0598059915,0.0454256877,0.0783649144
Marijuana Use in the Past Month,18 to 25,2006-08,"California LA SPA 2",0.1575015389,0.1219761058,0.2010050526
Marijuana Use in the Past Month,26 or Older,2006-08,"California LA SPA 2",0.0432980704,0.0303437632,0.0614324288
Marijuana Use in the Past Month,12 or Older,2006-08,"California LA SPA 3",0.0399213323,0.029678285,0.0535046874
Marijuana Use in the Past Month,12 to 17,2006-08,"California LA SPA 3",0.0440839959,0.030302816,0.0637207646
Marijuana Use in the Past Month,18 or Older,2006-08,"California LA SPA 3",0.0393946679,0.0288687211,0.0535469076
Marijuana Use in the Past Month,18 to 25,2006-08,"California LA SPA 3",0.1135955307,0.0854817879,0.1494445285
Marijuana Use in the Past Month,26 or Older,2006-08,"California LA SPA 3",0.0256409907,0.0166653198,0.0392578177
Marijuana Use in the Past Month,12 or Older,2006-08,"California LA SPA 4",0.0647741422,0.0475608519,0.0876440153
Marijuana Use in the Past Month,12 to 17,2006-08,"California LA SPA 4",0.0577892592,0.0396789725,0.0834471812
Marijuana Use in the Past Month,18 or Older,2006-08,"California LA SPA 4",0.0655044134,0.0476694892,0.0893857441
Marijuana Use in the Past Month,18 to 25,2006-08,"California LA SPA 4",0.1633470216,0.122867961,0.2139096999
Marijuana Use in the Past Month,26 or Older,2006-08,"California LA SPA 4",0.049685436,0.0335349853,0.0730262335
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 11 (Los Angeles)",0.0584924089,0.0513713426,0.0665313626
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 11 (Los Angeles)",0.0603592699,0.0509916219,0.0713185157
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 11 (Los Angeles)",0.0582567951,0.0506663526,0.0669042392
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 11 (Los Angeles)",0.1483611386,0.1297589163,0.1691119377
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 11 (Los Angeles)",0.0415045893,0.0341061668,0.0504241193
Marijuana Use in the Past Month,12 or Older,2006-08,"California LA SPA 6",0.0604183268,0.0441106832,0.0822362047
Marijuana Use in the Past Month,12 to 17,2006-08,"California LA SPA 6",0.055465614,0.0371246143,0.0820952199
Marijuana Use in the Past Month,18 or Older,2006-08,"California LA SPA 6",0.0612560261,0.044117347,0.0844644072
Marijuana Use in the Past Month,18 to 25,2006-08,"California LA SPA 6",0.1384134876,0.1009918838,0.1868198251
Marijuana Use in the Past Month,26 or Older,2006-08,"California LA SPA 6",0.0410387956,0.02662723,0.0627475707
Marijuana Use in the Past Month,12 or Older,2006-08,"California LA SPA 7",0.0475960894,0.0353195841,0.0638572432
Marijuana Use in the Past Month,12 to 17,2006-08,"California LA SPA 7",0.0547955148,0.0373945909,0.0796238787
Marijuana Use in the Past Month,18 or Older,2006-08,"California LA SPA 7",0.0465397001,0.034014211,0.0633750056
Marijuana Use in the Past Month,18 to 25,2006-08,"California LA SPA 7",0.1258705894,0.0929722793,0.1682506074
Marijuana Use in the Past Month,26 or Older,2006-08,"California LA SPA 7",0.0300959812,0.01990578,0.0452618599
Marijuana Use in the Past Month,12 or Older,2006-08,"California LA SPA 8",0.0648004923,0.0487877838,0.0855958284
Marijuana Use in the Past Month,12 to 17,2006-08,"California LA SPA 8",0.0670247856,0.0470764704,0.0945870169
Marijuana Use in the Past Month,18 or Older,2006-08,"California LA SPA 8",0.0645228985,0.0479699924,0.0862700886
Marijuana Use in the Past Month,18 to 25,2006-08,"California LA SPA 8",0.16185037,0.1218950078,0.2117443754
Marijuana Use in the Past Month,26 or Older,2006-08,"California LA SPA 8",0.0473571746,0.0325100226,0.0685048274
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 12R",0.0750724604,0.0547143143,0.1021866279
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 12R",0.0821801864,0.0551874671,0.1206888503
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 12R",0.0741484405,0.0535400214,0.1018358616
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 12R",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 12R",0.0507823432,0.0333754605,0.0765487951
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 15R (Fresno)",0.0655742031,0.0480166116,0.0889519636
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 15R (Fresno)",0.0652811461,0.0445386485,0.0947260938
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 15R (Fresno)",0.0656177369,0.0474038954,0.0901674076
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 15R (Fresno)",0.1617481023,0.1186313823,0.2166830006
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 15R (Fresno)",0.0433422013,0.0282562594,0.0659359743
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 16R (San Diego)",0.0728106251,0.0589751176,0.089582939
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 16R (San Diego)",0.0724558757,0.0542730447,0.0961113299
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 16R (San Diego)",0.0728500611,0.058367568,0.0905803579
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 16R (San Diego)",0.1706007093,0.137125911,0.2102560707
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 16R (San Diego)",0.0521664043,0.0385825059,0.0701837141
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 17R",0.0716531145,0.0560774055,0.0911373319
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 17R",0.0733959745,0.0530701488,0.1006788874
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 17R",0.0713942137,0.0551074048,0.0920257331
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 17R",0.1814419298,0.1407511364,0.2307374016
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 17R",0.0460757395,0.032331246,0.065269113
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 18R (San Bernardino)",0.0490297387,0.0378085791,0.0633619051
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 18R (San Bernardino)",0.0572895761,0.0411581901,0.0792210636
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 18R (San Bernardino)",0.0477725556,0.0361862527,0.0628267982
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 18R (San Bernardino)",0.119817783,0.0904158283,0.1571291747
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 18R (San Bernardino)",0.0314927708,0.0215075529,0.0458963397
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 1R",0.0840696518,0.0634762252,0.110555458
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 1R",0.0848520764,0.0589904474,0.1205984974
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 1R",0.0839860582,0.0627392212,0.1115716734
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 1R",0.1991682843,0.1528695803,0.2552639199
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 1R",0.0593258646,0.0404036188,0.086312876
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 20R",0.0574166262,0.0417750642,0.0784353667
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 20R",0.0657165146,0.0451621809,0.0946978179
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 20R",0.0562035347,0.040219093,0.0780242989
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 20R",0.1418202553,0.1023177128,0.1932899615
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 20R",0.0378896181,0.0246982382,0.057709649
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 14 (Orange)",0.0609995406,0.0482230331,0.0768876763
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 14 (Orange)",0.0699840547,0.052067212,0.0934584059
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 14 (Orange)",0.05993847,0.0467155067,0.0766034709
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 14 (Orange)",0.1716610134,0.1370989767,0.212787415
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 14 (Orange)",0.0407232238,0.0288556444,0.057184232
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 21R",0.1047230136,0.0808067007,0.134680679
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 21R",0.0903564117,0.062479548,0.1289603549
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 21R",0.106335526,0.0814862329,0.1376271958
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 21R",0.2494476157,0.1972546938,0.3101155192
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 21R",0.0740388651,0.0515458188,0.1052579158
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 2R",0.071777345,0.0536782355,0.0953640907
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 2R",0.0696935492,0.0492672819,0.0977181338
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 2R",0.0720068681,0.0532219883,0.0967444432
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 2R",0.1772117857,0.1352918509,0.2286854431
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 2R",0.050159645,0.0335720539,0.0743127802
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 3R (Sacramento)",0.0954721317,0.0742324939,0.1219881376
Marijuana Use in the Past Month,12 to 17,2006-08,"California Region 3R (Sacramento)",0.0945777135,0.067501134,0.1309897736
Marijuana Use in the Past Month,18 or Older,2006-08,"California Region 3R (Sacramento)",0.0955809687,0.0735951216,0.1232609789
Marijuana Use in the Past Month,18 to 25,2006-08,"California Region 3R (Sacramento)",0.2389184306,0.1898580088,0.2960240234
Marijuana Use in the Past Month,26 or Older,2006-08,"California Region 3R (Sacramento)",0.0691253134,0.0489541159,0.0967622834
Marijuana Use in the Past Month,12 or Older,2006-08,"California Region 4R",0.0897827104,0.0674869199,0.1185083113
