outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Alcohol Use in the Past Month,12 or Older,2004-06,"Arizona South A",0.5640472752,0.5091046742,0.6174611181
Alcohol Use in the Past Month,12 to 17,2004-06,"Arizona South A",0.192897909,0.1490886161,0.245860873
Alcohol Use in the Past Month,18 or Older,2004-06,"Arizona South A",0.6072204556,0.5465613296,0.6647423833
Alcohol Use in the Past Month,18 to 25,2004-06,"Arizona South A",0.6641924328,0.5983460903,0.7242193949
Alcohol Use in the Past Month,26 or Older,2004-06,"Arizona South A",0.5969622717,0.5297265855,0.6607415905
Alcohol Use in the Past Month,12 or Older,2004-06,"Arizona Rural North",0.5006363912,0.440034489,0.5612196015
Alcohol Use in the Past Month,12 to 17,2004-06,"Arizona Rural North",0.1732208711,0.1326870744,0.222954035
Alcohol Use in the Past Month,18 or Older,2004-06,"Arizona Rural North",0.5423629343,0.4747636826,0.6084374978
Alcohol Use in the Past Month,18 to 25,2004-06,"Arizona Rural North",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2004-06,"Arizona Rural North",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Arizona Rural South",0.4001292084,0.3335980967,0.4705597045
Alcohol Use in the Past Month,12 to 17,2004-06,"Arizona Rural South",0.1525826121,0.1125250543,0.2036282635
Alcohol Use in the Past Month,18 or Older,2004-06,"Arizona Rural South",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,18 to 25,2004-06,"Arizona Rural South",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2004-06,"Arizona Rural South",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Arkansas",0.4116640728,0.384886711,0.4389748942
Alcohol Use in the Past Month,12 to 17,2004-06,"Arkansas",0.1730497135,0.1510067126,0.19756165
Alcohol Use in the Past Month,18 or Older,2004-06,"Arkansas",0.4387022146,0.4092788191,0.4685630378
Alcohol Use in the Past Month,18 to 25,2004-06,"Arkansas",0.537337801,0.5051870958,0.5691809856
Alcohol Use in the Past Month,26 or Older,2004-06,"Arkansas",0.4213740825,0.388132294,0.4553441723
Alcohol Use in the Past Month,12 or Older,2004-06,"Arkansas Catchment Area 8",0.4417694656,0.393564659,0.491097203
Alcohol Use in the Past Month,12 to 17,2004-06,"Arkansas Catchment Area 8",0.1586431599,0.1242467095,0.2003830995
Alcohol Use in the Past Month,18 or Older,2004-06,"Arkansas Catchment Area 8",0.4722248482,0.419276036,0.5258060095
Alcohol Use in the Past Month,18 to 25,2004-06,"Arkansas Catchment Area 8",0.5435677388,0.4779359459,0.6077207757
Alcohol Use in the Past Month,26 or Older,2004-06,"Arkansas Catchment Area 8",0.4601370284,0.4020037607,0.5193755393
Alcohol Use in the Past Month,12 or Older,2004-06,"Arkansas Areas 5 and 6",0.3933109911,0.3423022465,0.446757616
Alcohol Use in the Past Month,12 to 17,2004-06,"Arkansas Areas 5 and 6",0.157182685,0.1194540019,0.2040660958
Alcohol Use in the Past Month,18 or Older,2004-06,"Arkansas Areas 5 and 6",0.4217626056,0.3657578662,0.479854778
Alcohol Use in the Past Month,18 to 25,2004-06,"Arkansas Areas 5 and 6",0.5051396645,0.4450098634,0.5651211531
Alcohol Use in the Past Month,26 or Older,2004-06,"Arkansas Areas 5 and 6",0.4062471564,0.3429644052,0.4728040439
Alcohol Use in the Past Month,12 or Older,2004-06,"Arkansas Areas 7, 12, and 13",0.3692280373,0.3140307558,0.4280728898
Alcohol Use in the Past Month,12 to 17,2004-06,"Arkansas Areas 7, 12, and 13",0.1684217786,0.1295249399,0.2160996551
Alcohol Use in the Past Month,18 or Older,2004-06,"Arkansas Areas 7, 12, and 13",0.3936770389,0.3327923767,0.4580534893
Alcohol Use in the Past Month,18 to 25,2004-06,"Arkansas Areas 7, 12, and 13",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2004-06,"Arkansas Areas 7, 12, and 13",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Arkansas Areas 8, 10, and 11",0.3998369766,0.3457429708,0.4564892854
Alcohol Use in the Past Month,12 to 17,2004-06,"Arkansas Areas 8, 10, and 11",0.1820829585,0.1412676116,0.2315115545
Alcohol Use in the Past Month,18 or Older,2004-06,"Arkansas Areas 8, 10, and 11",0.4237545979,0.3646803577,0.4850916193
Alcohol Use in the Past Month,18 to 25,2004-06,"Arkansas Areas 8, 10, and 11",0.5721367137,0.5095960143,0.6324541684
Alcohol Use in the Past Month,26 or Older,2004-06,"Arkansas Areas 8, 10, and 11",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Arkansas Areas 1 and 2",0.4655908649,0.4069806213,0.525166871
Alcohol Use in the Past Month,12 to 17,2004-06,"Arkansas Areas 1 and 2",0.2022600688,0.1566264974,0.2571354649
Alcohol Use in the Past Month,18 or Older,2004-06,"Arkansas Areas 1 and 2",0.4954963414,0.4314147296,0.5597262602
Alcohol Use in the Past Month,18 to 25,2004-06,"Arkansas Areas 1 and 2",0.6058826864,0.5397399056,0.6683606667
Alcohol Use in the Past Month,26 or Older,2004-06,"Arkansas Areas 1 and 2",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Arkansas Areas 3 and 4",0.38418044,0.3332352374,0.4378001962
Alcohol Use in the Past Month,12 to 17,2004-06,"Arkansas Areas 3 and 4",0.169996925,0.1328797931,0.2149122976
Alcohol Use in the Past Month,18 or Older,2004-06,"Arkansas Areas 3 and 4",0.4074907287,0.3519035191,0.465551127
Alcohol Use in the Past Month,18 to 25,2004-06,"Arkansas Areas 3 and 4",0.5268296649,0.4606622406,0.5920679004
Alcohol Use in the Past Month,26 or Older,2004-06,"Arkansas Areas 3 and 4",0.3867202072,0.3249821682,0.452327544
Alcohol Use in the Past Month,12 or Older,2004-06,"California",0.502682652,0.4887011375,0.5166599724
Alcohol Use in the Past Month,12 to 17,2004-06,"California",0.1576969877,0.1455201891,0.1706891745
Alcohol Use in the Past Month,18 or Older,2004-06,"California",0.5461897437,0.530528467,0.5617601371
Alcohol Use in the Past Month,18 to 25,2004-06,"California",0.5658082211,0.5482534635,0.5831994163
Alcohol Use in the Past Month,26 or Older,2004-06,"California",0.54256558,0.5246751814,0.5603468621
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 10",0.564815512,0.5112860182,0.6168753197
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 10",0.1902052983,0.1515368259,0.2359964817
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 10",0.6136584424,0.5539817162,0.670105346
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 10",0.5872168659,0.5191697634,0.6520873379
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 10",0.6186906556,0.5516681584,0.6814787384
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 3",0.4966888626,0.4439340593,0.5495174933
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 3",0.166865355,0.1318847343,0.2088915424
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 3",0.5470672482,0.487030531,0.6057651705
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 3",0.5463765361,0.4779275423,0.6131159468
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 3",0.547184716,0.4801517102,0.6125489191
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 4",0.5806508606,0.531555313,0.6281999696
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 4",0.1765538565,0.1388265106,0.2218921975
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 4",0.6109875645,0.5586703733,0.6608676196
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 4",0.638515393,0.5743268613,0.6981124803
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 4",0.6072518942,0.5500938076,0.6616152748
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 5",0.5728377034,0.5292881152,0.615286732
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 5",0.1584780149,0.1292231094,0.1928888654
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 5",0.6185569021,0.5703986352,0.6644920467
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 5",0.6167033946,0.5622198469,0.6684054652
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 5",0.6188661893,0.5650402154,0.6699223277
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 7",0.5560856751,0.4992444031,0.6114957688
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 7",0.1694344546,0.1270178085,0.2224071175
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 7",0.6071212498,0.543892591,0.6669520119
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 7",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 7",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 8",0.4559120004,0.406856025,0.5058385864
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 8",0.1573116262,0.1250260014,0.1960661996
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 8",0.5037119222,0.4476119643,0.5597185729
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 8",0.5214786832,0.4591013991,0.5831932716
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 8",0.4998021299,0.4358788362,0.5637318924
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 9",0.4986753044,0.4436989987,0.5536836589
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 9",0.1872478484,0.1471093852,0.2353163801
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 9",0.5447947773,0.4829192103,0.6053174784
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 9",0.5663507102,0.50416227,0.6265174462
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 9",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 11 (Los Angeles)",0.447756532,0.4224083818,0.4733791294
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 11 (Los Angeles)",0.1375129756,0.1185869853,0.1589148907
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 11 (Los Angeles)",0.4873188997,0.4588823518,0.5158377732
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 11 (Los Angeles)",0.52122688,0.4891503312,0.5531293398
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 11 (Los Angeles)",0.4807695149,0.4478541113,0.5138526944
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 14 (Orange)",0.5098088081,0.4662226379,0.5532463548
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 14 (Orange)",0.1544093143,0.1243354699,0.1901775109
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 14 (Orange)",0.5516900085,0.5034385572,0.5989875399
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 14 (Orange)",0.5574135856,0.505123846,0.6084609331
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 14 (Orange)",0.5506880091,0.495867203,0.6043045401
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 6 (Santa Clara)",0.5216267762,0.4739515194,0.568911276
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 6 (Santa Clara)",0.1406236408,0.1101888897,0.1777850563
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 6 (Santa Clara)",0.5615357675,0.5093003645,0.6124419964
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 6 (Santa Clara)",0.5509884603,0.4849604545,0.6152670371
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 6 (Santa Clara)",0.5632970504,0.5058368529,0.6191069284
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 13 (Riverside)",0.4781887467,0.4281002612,0.5287197118
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 13 (Riverside)",0.1688446634,0.1351806096,0.2088673697
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 13 (Riverside)",0.52380349,0.4669248302,0.5800713125
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 13 (Riverside)",0.5580388064,0.4939433613,0.6202573271
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 13 (Riverside)",0.5176645813,0.4545469458,0.5802235205
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 1",0.554086668,0.4968475637,0.6099264159
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 1",0.2008879986,0.1586972511,0.2509496494
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 1",0.5982652582,0.53487512,0.6585315274
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 1",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 1",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 12",0.4083773838,0.3637635644,0.4545536843
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 12",0.1553887604,0.1242036962,0.1926811293
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 12",0.4490504106,0.3983075652,0.5008763999
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 12",0.5145844927,0.4572957912,0.5714924851
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 12",0.4353730627,0.3774047441,0.4951637864
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 15",0.5161499917,0.47701853,0.5550844039
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 15",0.1651859604,0.1324425779,0.2041197803
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 15",0.5586688008,0.5155220781,0.6009473901
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 15",0.6284593669,0.5821074,0.6725620443
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 15",0.5444361433,0.4951720788,0.5928456702
Alcohol Use in the Past Month,12 or Older,2004-06,"California Region 2",0.577231368,0.5387733455,0.6147754879
Alcohol Use in the Past Month,12 to 17,2004-06,"California Region 2",0.1687981801,0.1384805443,0.2041801972
Alcohol Use in the Past Month,18 or Older,2004-06,"California Region 2",0.62889212,0.5858306931,0.6699984119
Alcohol Use in the Past Month,18 to 25,2004-06,"California Region 2",0.6151338456,0.5692915945,0.6590193238
Alcohol Use in the Past Month,26 or Older,2004-06,"California Region 2",0.6312678025,0.5820913289,0.6778600272
Alcohol Use in the Past Month,12 or Older,2004-06,"Colorado",0.5830018586,0.5561070127,0.609411697
Alcohol Use in the Past Month,12 to 17,2004-06,"Colorado",0.1953437715,0.1710678371,0.2221414643
Alcohol Use in the Past Month,18 or Older,2004-06,"Colorado",0.6269937379,0.5971704684,0.6558813855
Alcohol Use in the Past Month,18 to 25,2004-06,"Colorado",0.6874878165,0.6548290567,0.718385429
Alcohol Use in the Past Month,26 or Older,2004-06,"Colorado",0.6164798903,0.5829234608,0.6489623345
Alcohol Use in the Past Month,12 or Older,2004-06,"Colorado Region 1",0.6224624922,0.5698701675,0.6723218831
Alcohol Use in the Past Month,12 to 17,2004-06,"Colorado Region 1",0.2157134933,0.1694929461,0.2704340584
Alcohol Use in the Past Month,18 or Older,2004-06,"Colorado Region 1",0.6753934485,0.6166287756,0.7291076204
Alcohol Use in the Past Month,18 to 25,2004-06,"Colorado Region 1",0.7278648126,0.6661164298,0.7819319629
Alcohol Use in the Past Month,26 or Older,2004-06,"Colorado Region 1",0.6641339335,0.5977700663,0.7245930686
Alcohol Use in the Past Month,12 or Older,2004-06,"Colorado Region 3",0.5777306158,0.5197642804,0.6336320195
Alcohol Use in the Past Month,12 to 17,2004-06,"Colorado Region 3",0.1757275566,0.1349573842,0.2256021237
Alcohol Use in the Past Month,18 or Older,2004-06,"Colorado Region 3",0.6250905132,0.5608049862,0.6852476086
Alcohol Use in the Past Month,18 to 25,2004-06,"Colorado Region 3",0.697603768,0.6340007405,0.7544349854
Alcohol Use in the Past Month,26 or Older,2004-06,"Colorado Region 3",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Colorado Region 4",0.4801223875,0.4118117379,0.5491844333
Alcohol Use in the Past Month,12 to 17,2004-06,"Colorado Region 4",0.2071785602,0.1599761869,0.2639324451
Alcohol Use in the Past Month,18 or Older,2004-06,"Colorado Region 4",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,18 to 25,2004-06,"Colorado Region 4",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2004-06,"Colorado Region 4",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Colorado Regions 2 and 7",0.585472004,0.549822401,0.6202483687
Alcohol Use in the Past Month,12 to 17,2004-06,"Colorado Regions 2 and 7",0.1985256684,0.1663727849,0.2351396402
Alcohol Use in the Past Month,18 or Older,2004-06,"Colorado Regions 2 and 7",0.6272552253,0.5879239862,0.6649716668
Alcohol Use in the Past Month,18 to 25,2004-06,"Colorado Regions 2 and 7",0.6759871406,0.6306332258,0.718260085
Alcohol Use in the Past Month,26 or Older,2004-06,"Colorado Regions 2 and 7",0.6190704318,0.5749226267,0.661334046
Alcohol Use in the Past Month,12 or Older,2004-06,"Colorado Regions 5 and 6",0.5865381169,0.5197412573,0.6502955437
Alcohol Use in the Past Month,12 to 17,2004-06,"Colorado Regions 5 and 6",0.1724940768,0.1286807814,0.2273328529
Alcohol Use in the Past Month,18 or Older,2004-06,"Colorado Regions 5 and 6",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,18 to 25,2004-06,"Colorado Regions 5 and 6",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2004-06,"Colorado Regions 5 and 6",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,12 or Older,2004-06,"Connecticut",0.6140673396,0.585065571,0.6422814204
Alcohol Use in the Past Month,12 to 17,2004-06,"Connecticut",0.2070125035,0.1832940776,0.232924783
Alcohol Use in the Past Month,18 or Older,2004-06,"Connecticut",0.6605469825,0.6283918085,0.6912866907
Alcohol Use in the Past Month,18 to 25,2004-06,"Connecticut",0.725381609,0.6935406752,0.7550825684
Alcohol Use in the Past Month,26 or Older,2004-06,"Connecticut",0.6506776276,0.6145567995,0.6851476871
Alcohol Use in the Past Month,12 or Older,2004-06,"Connecticut Eastern",0.6027762631,0.5418153326,0.6607055294
Alcohol Use in the Past Month,12 to 17,2004-06,"Connecticut Eastern",0.1955102186,0.1532428852,0.2460481073
Alcohol Use in the Past Month,18 or Older,2004-06,"Connecticut Eastern",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,18 to 25,2004-06,"Connecticut Eastern",suppressed,suppressed,suppressed
Alcohol Use in the Past Month,26 or Older,2004-06,"Connecticut Eastern",suppressed,suppressed,suppressed
