outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 to 17,2002-04,"Arkansas Catchment Area 8",0.0807532867,0.0555800321,0.1159284492
Marijuana Use in the Past Month,18 or Older,2002-04,"Arkansas Catchment Area 8",0.0660641736,0.0493178915,0.0879706085
Marijuana Use in the Past Month,18 to 25,2002-04,"Arkansas Catchment Area 8",0.1883238852,0.1425667,0.2445779007
Marijuana Use in the Past Month,26 or Older,2002-04,"Arkansas Catchment Area 8",0.0451801593,0.0298384668,0.0678581768
Marijuana Use in the Past Month,12 or Older,2002-04,"Arkansas Area 6",0.0515474874,0.0375756974,0.07033475
Marijuana Use in the Past Month,12 to 17,2002-04,"Arkansas Area 6",0.0674665999,0.0423743148,0.1057762471
Marijuana Use in the Past Month,18 or Older,2002-04,"Arkansas Area 6",0.0495358642,0.0355403239,0.0686504549
Marijuana Use in the Past Month,18 to 25,2002-04,"Arkansas Area 6",0.14074882,0.1022003781,0.1907479839
Marijuana Use in the Past Month,26 or Older,2002-04,"Arkansas Area 6",0.0300749723,0.0184246418,0.048726384
Marijuana Use in the Past Month,12 or Older,2002-04,"Arkansas Areas 1 and 5",0.0571461725,0.0435836916,0.0745998706
Marijuana Use in the Past Month,12 to 17,2002-04,"Arkansas Areas 1 and 5",0.0730207299,0.0499562854,0.1055507774
Marijuana Use in the Past Month,18 or Older,2002-04,"Arkansas Areas 1 and 5",0.055212308,0.0413174414,0.073422083
Marijuana Use in the Past Month,18 to 25,2002-04,"Arkansas Areas 1 and 5",0.160047927,0.1219013318,0.2073134397
Marijuana Use in the Past Month,26 or Older,2002-04,"Arkansas Areas 1 and 5",0.0350262928,0.0227093201,0.0536569064
Marijuana Use in the Past Month,12 or Older,2002-04,"Arkansas Areas 10, 11, and 13",0.0522152989,0.0385725003,0.0703304664
Marijuana Use in the Past Month,12 to 17,2002-04,"Arkansas Areas 10, 11, and 13",0.0718259685,0.0471695154,0.1079111886
Marijuana Use in the Past Month,18 or Older,2002-04,"Arkansas Areas 10, 11, and 13",0.049865515,0.036081359,0.0685411843
Marijuana Use in the Past Month,18 to 25,2002-04,"Arkansas Areas 10, 11, and 13",0.1573442731,0.1180333458,0.2066795942
Marijuana Use in the Past Month,26 or Older,2002-04,"Arkansas Areas 10, 11, and 13",0.0315206739,0.0193775069,0.0508786937
Marijuana Use in the Past Month,12 or Older,2002-04,"Arkansas Areas 2 and 3",0.0463748357,0.0330666669,0.0646807917
Marijuana Use in the Past Month,12 to 17,2002-04,"Arkansas Areas 2 and 3",0.0928675557,0.0617828685,0.1373030495
Marijuana Use in the Past Month,18 or Older,2002-04,"Arkansas Areas 2 and 3",0.0415371539,0.0286068696,0.059951215
Marijuana Use in the Past Month,18 to 25,2002-04,"Arkansas Areas 2 and 3",0.1276371674,0.089395413,0.1790219054
Marijuana Use in the Past Month,26 or Older,2002-04,"Arkansas Areas 2 and 3",0.0290789568,0.0176582552,0.0475287615
Marijuana Use in the Past Month,12 or Older,2002-04,"Arkansas Areas 4 and 7",0.0534751439,0.0400993016,0.0709828006
Marijuana Use in the Past Month,12 to 17,2002-04,"Arkansas Areas 4 and 7",0.0728548785,0.0497447116,0.1055093668
Marijuana Use in the Past Month,18 or Older,2002-04,"Arkansas Areas 4 and 7",0.0511340171,0.037438235,0.0694783943
Marijuana Use in the Past Month,18 to 25,2002-04,"Arkansas Areas 4 and 7",0.1504168292,0.1130165427,0.1974388791
Marijuana Use in the Past Month,26 or Older,2002-04,"Arkansas Areas 4 and 7",0.032234108,0.0202319878,0.0509856733
Marijuana Use in the Past Month,12 or Older,2002-04,"Arkansas Areas 8 and 12",0.0639285452,0.0480938821,0.084513817
Marijuana Use in the Past Month,12 to 17,2002-04,"Arkansas Areas 8 and 12",0.1043347462,0.0711741438,0.1504427226
Marijuana Use in the Past Month,18 or Older,2002-04,"Arkansas Areas 8 and 12",0.0595467131,0.0437104504,0.0806366445
Marijuana Use in the Past Month,18 to 25,2002-04,"Arkansas Areas 8 and 12",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2002-04,"Arkansas Areas 8 and 12",0.0368331527,0.0230954026,0.0582551858
Marijuana Use in the Past Month,12 or Older,2002-04,"California",0.0678650734,0.0620679228,0.0741608666
Marijuana Use in the Past Month,12 to 17,2002-04,"California",0.0825434504,0.0739401917,0.0920482355
Marijuana Use in the Past Month,18 or Older,2002-04,"California",0.0660344455,0.059707812,0.0729794187
Marijuana Use in the Past Month,18 to 25,2002-04,"California",0.1556841026,0.1438427752,0.1683085928
Marijuana Use in the Past Month,26 or Older,2002-04,"California",0.0496442222,0.042692158,0.0576601851
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 10",0.0744309642,0.0571834507,0.0963490032
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 10",0.0770407241,0.0520901075,0.112523745
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 10",0.0740981725,0.0560715204,0.0973227488
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 10",0.2043764115,0.1585720001,0.2593338424
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 10",0.0495749284,0.0329439338,0.0739595999
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 3",0.0680196844,0.0533316625,0.0863837931
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 3",0.0896844178,0.0632892524,0.1256116534
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 3",0.0647511017,0.0497196329,0.0839256086
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 3",0.1688865776,0.1323816455,0.2129867851
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 3",0.0452167479,0.0306697937,0.0661922905
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 4",0.0917668419,0.0708963811,0.1180008455
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 4",0.0890280372,0.0627099223,0.1249192739
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 4",0.0919592956,0.0703083613,0.1194210504
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 4",0.2090641025,0.164222131,0.262307592
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 4",0.0760742838,0.0545008563,0.1052367844
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 5",0.0885558537,0.0710996781,0.1097912582
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 5",0.0932040274,0.0687379596,0.1252075413
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 5",0.0880413757,0.0695619641,0.1108450813
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 5",0.2070531559,0.1699184053,0.249860651
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 5",0.0693241396,0.0505587148,0.0943623274
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 7",0.0785355255,0.0577262525,0.10600229
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 7",0.0867261466,0.0567073344,0.1304384435
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 7",0.0774790553,0.0561717247,0.1059613935
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 7",0.1658153956,0.1230179319,0.2197707466
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 7",0.0595118953,0.0392578761,0.0892447476
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 8",0.0575986584,0.0439503597,0.0751521235
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 8",0.0705413684,0.0484364926,0.1016564995
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 8",0.0555683518,0.0415112625,0.0740180374
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 8",0.1272785231,0.0968708624,0.165482179
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 8",0.0399516863,0.0265112612,0.0597875289
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 9",0.0742821447,0.0558256141,0.0982059209
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 9",0.0842232693,0.0566414246,0.1234782119
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 9",0.0728377732,0.0537295314,0.0980375707
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 9",0.1720265061,0.1295726566,0.2247977887
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 9",0.0522760536,0.0346396754,0.0781647303
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 11 (Los Angeles)",0.0554581787,0.0470093927,0.0653213463
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 11 (Los Angeles)",0.0632094242,0.0501550343,0.079377669
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 11 (Los Angeles)",0.0544848939,0.0454293606,0.0652221535
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 11 (Los Angeles)",0.1177533269,0.0996602135,0.1386254527
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 11 (Los Angeles)",0.0422502755,0.0325535477,0.0546721417
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 14 (Orange)",0.0628580949,0.0501230959,0.0785611234
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 14 (Orange)",0.0881117583,0.0653495,0.1178031684
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 14 (Orange)",0.059911058,0.0467832143,0.0764273462
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 14 (Orange)",0.153167177,0.1216070129,0.1911357519
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 14 (Orange)",0.0436824158,0.0310237222,0.0611801476
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 6 (Santa Clara)",0.0523691171,0.039536759,0.069066942
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 6 (Santa Clara)",0.0669121466,0.0450007323,0.0983932827
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 6 (Santa Clara)",0.0508451139,0.0376534944,0.0683301688
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 6 (Santa Clara)",0.1373459785,0.1034015085,0.1801941661
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 6 (Santa Clara)",0.0364616037,0.0243469938,0.0542689207
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 13 (Riverside)",0.0614551479,0.0469899597,0.0799994434
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 13 (Riverside)",0.1085853496,0.0755410449,0.1536814469
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 13 (Riverside)",0.0546091485,0.0402874873,0.0736313628
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 13 (Riverside)",0.1482651971,0.1112086015,0.1949611054
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 13 (Riverside)",0.037977316,0.024850525,0.0576282952
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 1",0.1143403862,0.0880452345,0.1472209432
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 1",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 1",0.1092145519,0.0820886436,0.1438989093
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 1",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 1",0.0821402251,0.0555253719,0.1198928956
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 12",0.061346383,0.0479920228,0.0781118579
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 12",0.077709429,0.0554032926,0.1079698025
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 12",0.0587559617,0.0449983609,0.0763833299
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 12",0.1452052995,0.1129594654,0.1847390724
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 12",0.040939136,0.028003202,0.0594850529
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 15",0.0648529933,0.0521023746,0.0804591128
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 15",0.0824676689,0.0598531882,0.1126032458
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 15",0.0627406259,0.049572591,0.0791153369
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 15",0.1538954041,0.1239412597,0.1895227474
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 15",0.0444865475,0.0316754344,0.062146566
Marijuana Use in the Past Month,12 or Older,2002-04,"California Region 2",0.0823225788,0.0664583555,0.1015617508
Marijuana Use in the Past Month,12 to 17,2002-04,"California Region 2",0.1054047309,0.0797661965,0.1380478012
Marijuana Use in the Past Month,18 or Older,2002-04,"California Region 2",0.0794190773,0.0625971708,0.1002779927
Marijuana Use in the Past Month,18 to 25,2002-04,"California Region 2",0.192670652,0.1560072932,0.2355456143
Marijuana Use in the Past Month,26 or Older,2002-04,"California Region 2",0.060411989,0.0436992967,0.0829619093
Marijuana Use in the Past Month,12 or Older,2002-04,"Colorado",0.0775596019,0.066941497,0.0897000128
Marijuana Use in the Past Month,12 to 17,2002-04,"Colorado",0.1047530239,0.0866965134,0.1260511748
Marijuana Use in the Past Month,18 or Older,2002-04,"Colorado",0.074406914,0.063048657,0.0876200161
Marijuana Use in the Past Month,18 to 25,2002-04,"Colorado",0.2048525349,0.179294838,0.2330189908
Marijuana Use in the Past Month,26 or Older,2002-04,"Colorado",0.051668233,0.040084118,0.066368637
Marijuana Use in the Past Month,12 or Older,2002-04,"Colorado Region 1",0.0653252934,0.0506112904,0.0839388253
Marijuana Use in the Past Month,12 to 17,2002-04,"Colorado Region 1",0.0859729491,0.0588488922,0.1239522451
Marijuana Use in the Past Month,18 or Older,2002-04,"Colorado Region 1",0.0626097616,0.0475354856,0.0820525247
Marijuana Use in the Past Month,18 to 25,2002-04,"Colorado Region 1",0.1784597638,0.136799589,0.2294347582
Marijuana Use in the Past Month,26 or Older,2002-04,"Colorado Region 1",0.0379855039,0.0249407631,0.05745102
Marijuana Use in the Past Month,12 or Older,2002-04,"Colorado Region 3",0.0670911252,0.0506025158,0.0884519172
Marijuana Use in the Past Month,12 to 17,2002-04,"Colorado Region 3",0.0837332392,0.0550628133,0.1253516222
Marijuana Use in the Past Month,18 or Older,2002-04,"Colorado Region 3",0.0650748758,0.0483555876,0.08704621
Marijuana Use in the Past Month,18 to 25,2002-04,"Colorado Region 3",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2002-04,"Colorado Region 3",0.0400983957,0.0257718103,0.0618832637
Marijuana Use in the Past Month,12 or Older,2002-04,"Colorado Region 4",0.0560049206,0.0402057278,0.0775111635
Marijuana Use in the Past Month,12 to 17,2002-04,"Colorado Region 4",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,18 or Older,2002-04,"Colorado Region 4",0.052080186,0.0366187401,0.0735713342
Marijuana Use in the Past Month,18 to 25,2002-04,"Colorado Region 4",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2002-04,"Colorado Region 4",0.0350349325,0.0216443637,0.0562335926
Marijuana Use in the Past Month,12 or Older,2002-04,"Colorado Regions 2 and 7",0.0857703915,0.0715007591,0.1025732532
Marijuana Use in the Past Month,12 to 17,2002-04,"Colorado Regions 2 and 7",0.1203507258,0.0945655913,0.1519864805
Marijuana Use in the Past Month,18 or Older,2002-04,"Colorado Regions 2 and 7",0.0819432645,0.0668740633,0.1000440537
Marijuana Use in the Past Month,18 to 25,2002-04,"Colorado Regions 2 and 7",0.2186508835,0.1845454146,0.2570723046
Marijuana Use in the Past Month,26 or Older,2002-04,"Colorado Regions 2 and 7",0.0588548086,0.043455647,0.0792587368
Marijuana Use in the Past Month,12 or Older,2002-04,"Colorado Regions 5 and 6",0.0749343655,0.0550692109,0.1011980461
Marijuana Use in the Past Month,12 to 17,2002-04,"Colorado Regions 5 and 6",0.0907330172,0.0597966842,0.1353701106
Marijuana Use in the Past Month,18 or Older,2002-04,"Colorado Regions 5 and 6",0.0731419644,0.0527606514,0.1005606906
Marijuana Use in the Past Month,18 to 25,2002-04,"Colorado Regions 5 and 6",suppressed,suppressed,suppressed
Marijuana Use in the Past Month,26 or Older,2002-04,"Colorado Regions 5 and 6",0.0536534668,0.0346984686,0.0820826644
Marijuana Use in the Past Month,12 or Older,2002-04,"Connecticut",0.0673270782,0.0578078676,0.0782835749
Marijuana Use in the Past Month,12 to 17,2002-04,"Connecticut",0.0887954696,0.0737825321,0.1065118844
Marijuana Use in the Past Month,18 or Older,2002-04,"Connecticut",0.0648582624,0.0547508264,0.0766802452
