data,aktywnosc,przedmiot,czas_total_min
9.01.2025,hobby,,0
9.01.2025,czas_z_rodzina,,30
9.01.2025,odpoczynek_rozrywka,,120
10.01.2025,sen,,440
10.01.2025,dojazdy_na_uczelnie,,45
10.01.2025,zajecia_na_uczelni,RP,90
10.01.2025,zajecia_na_uczelni,MN,45
10.01.2025,nauka,TWD,40
10.01.2025,nauka,MN,20
10.01.2025,nauka,RP,10
10.01.2025,spotkania_towarzyskie,,120
10.01.2025,przerwy_na_uczelni,,30
10.01.2025,hobby,,50
10.01.2025,nauka,TWD,100
11.01.2025,sen,,300
11.01.2025,nauka,MN,70
11.01.2025,nauka,ZPOiF,45
11.01.2025,odpoczynek_rozrywka,,60
11.01.2025,hobby,,60
12.01.2025,sen,,470
12.01.2025,nauka,RP,100
12.01.2025,nauka,ASD,200
12.01.2025,hobby,,130
13.01.2025,sen,,400
13.01.2025,dojazdy_na_uczelnie,,45
13.01.2025,spotkania_towarzyskie,,90
13.01.2025,nauka,RP,80
13.01.2025,nauka,TWD,20
13.01.2025,nauka,MN,40
13.01.2025,nauka,ZPOiF,60
13.01.2025,zajecia_na_uczelni,ZPOiF,90
13.01.2025,dojazdy_na_uczelnie,,45
13.01.2025,odpoczynek_rozrywka,,20
13.01.2025,hobby,,10
14.01.2025,sen,,450
14.01.2025,dojazdy_na_uczelnie,,50
14.01.2025,nauka,RP,70
14.01.2025,nauka,MN,40
14.01.2025,hobby,,60
14.01.2025,zajecia_na_uczelni,ASD,90
14.01.2025,zajecia_na_uczelni,jezyki,90
14.01.2025,zajecia_na_uczelni,MN,90
14.01.2025,przerwy_na_uczelni,,75
14.01.2025,dojazdy_na_uczelnie,,45
14.01.2025,czas_z_rodzina,,20
15.01.2025,sen,,400
15.01.2025,hobby,,80
15.01.2025,nauka,MN,60
15.01.2025,odpoczynek_rozrywka,,40
15.01.2025,nauka,RP,30
15.01.2025,nauka,TWD,30
15.01.2025,dojazdy_na_uczelnie,,45
15.01.2025,spotkania_towarzyskie,,60
15.01.2025,sport,,90
15.01.2025,dojazdy_na_uczelnie,,50
15.01.2025,nauka,jezyki,0
15.01.2025,nauka,ASD,120
16.01.2025,sen,,420
16.01.2025,dojazdy_na_uczelnie,,45
16.01.2025,nauka,TWD,60
16.01.2025,nauka,ZPOiF,40
16.01.2025,nauka,MN,60
16.01.2025,zajecia_na_uczelni,MN,60
16.01.2025,przerwy_na_uczelni,,150
16.01.2025,spotkania_towarzyskie,,60
16.01.2025,zajecia_na_uczelni,TWD,130
16.01.2025,dojazdy_na_uczelnie,,55
16.01.2025,nauka,RP,180
16.01.2025,odpoczynek_rozrywka,,15
16.01.2025,hobby,,0
17.01.2025,sen,,500
17.01.2025,hobby,,30
17.01.2025,nauka,RP,100
17.01.2025,dojazdy_na_uczelnie,,45
17.01.2025,zajecia_na_uczelni,RP,90
17.01.2025,dojazdy_na_uczelnie,,50
17.01.2025,odpoczynek_rozrywka,,45
17.01.2025,hobby,,40
17.01.2025,nauka,ASD,90
17.01.2025,czas_z_rodzina,,10
18.01.2025,sen,,600
18.01.2025,hobby,,125
18.01.2025,nauka,ASD,500
18.01.2025,hobby,,40
18.01.2025,odpoczynek_rozrywka,,100
19.01.2025,sen,,540
19.01.2025,hobby,,0
19.01.2025,nauka,ASD,500
19.01.2025,hobby,,10
19.01.2025,czas_z_rodzina,,20
19.01.2025,odpoczynek_rozrywka,,30
19.01.2025,nauka,jezyki,15
