data,aktywnosc,przedmiot,czas_total_min
16.12.2024,dojazdy_na_uczelnie,,45
16.12.2024,czas_z_rodzina,,50
16.12.2024,nauka,MN,210
16.12.2024,hobby,,15
16.12.2024,czas_z_rodzina,,20
17.12.2024,sen,,340
17.12.2024,dojazdy_na_uczelnie,,50
17.12.2024,przerwy_na_uczelni,,30
17.12.2024,zajecia_na_uczelni,ASD,90
17.12.2024,przerwy_na_uczelni,,15
17.12.2024,przerwy_na_uczelni,,75
17.12.2024,nauka,MN,60
17.12.2024,zajecia_na_uczelni,MN,90
17.12.2024,dojazdy_na_uczelnie,,60
17.12.2024,odpoczynek_rozrywka,,30
17.12.2024,spotkania_towarzyskie,,220
18.12.2024,sen,,300
18.12.2024,dojazdy_na_uczelnie,,70
18.12.2024,nauka,MN,45
18.12.2024,spotkania_towarzyskie,,30
18.12.2024,zajecia_na_uczelni,,60
18.12.2024,sport,,30
18.12.2024,spotkania_towarzyskie,,30
18.12.2024,nauka,TWD,50
18.12.2024,spotkania_towarzyskie,,310
18.12.2024,dojazdy_na_uczelnie,,50
18.12.2024,odpoczynek_rozrywka,,30
19.12.2024,sen,,540
19.12.2024,nauka,jezyki,30
19.12.2024,dojazdy_na_uczelnie,,40
19.12.2024,nauka,jezyki,25
19.12.2024,zajecia_na_uczelni,jezyki,90
19.12.2024,przerwy_na_uczelni,,20
19.12.2024,hobby,,15
19.12.2024,spotkania_towarzyskie,,10
19.12.2024,nauka,MN,40
19.12.2024,przerwy_na_uczelni,,10
19.12.2024,zajecia_na_uczelni,TWD,90
19.12.2024,przerwy_na_uczelni,,15
19.12.2024,zajecia_na_uczelni,TWD,10
19.12.2024,dojazdy_na_uczelnie,,30
19.12.2024,czas_z_rodzina,,120
20.12.2024,sen,,660
20.12.2024,dojazdy_na_uczelnie,,45
20.12.2024,sport,,120
20.12.2024,dojazdy_na_uczelnie,,10
20.12.2024,przerwy_na_uczelni,,20
20.12.2024,zajecia_na_uczelni,RP,110
20.12.2024,spotkania_towarzyskie,,100
20.12.2024,przerwy_na_uczelni,,15
20.12.2024,zajecia_na_uczelni,MN,35
20.12.2024,przerwy_na_uczelni,,40
20.12.2024,spotkania_towarzyskie,,255
20.12.2024,dojazdy_na_uczelnie,,45
20.12.2024,czas_z_rodzina,,90
21.12.2024,sen,,480
21.12.2024,hobby,,570
21.12.2024,czas_z_rodzina,,90
22.12.2024,sen,,450
22.12.2024,hobby,,300
22.12.2024,czas_z_rodzina,,60
22.12.2024,nauka,TWD,10
22.12.2024,czas_z_rodzina,,90
22.12.2024,odpoczynek_rozrywka,,30
22.12.2024,hobby,,90
23.12.2024,sen,,600
23.12.2024,czas_z_rodzina,,20
23.12.2024,hobby,,140
23.12.2024,czas_z_rodzina,,300
23.12.2024,sen,,180
23.12.2024,czas_z_rodzina,,180
23.12.2024,odpoczynek_rozrywka,,120
24.12.2024,sen,,540
24.12.2024,czas_z_rodzina,,200
24.12.2024,nauka,jezyki,25
24.12.2024,sport,,40
24.12.2024,odpoczynek_rozrywka,,45
24.12.2024,czas_z_rodzina,,150
24.12.2024,nauka,jezyki,50
24.12.2024,czas_z_rodzina,,120
25.12.2024,sen,,580
25.12.2024,czas_z_rodzina,,30
25.12.2024,odpoczynek_rozrywka,,120
25.12.2024,czas_z_rodzina,,45
25.12.2024,odpoczynek_rozrywka,,60
25.12.2024,czas_z_rodzina,,120
26.12.2024,sen,,600
26.12.2024,czas_z_rodzina,,210
26.12.2024,spotkania_towarzyskie,,225
26.12.2024,odpoczynek_rozrywka,,30
26.12.2024,nauka,TWD,70
26.12.2024,hobby,,50
27.12.2024,sen,,530
27.12.2024,sport,,150
27.12.2024,spotkania_towarzyskie,,570
28.12.2024,sen,,580
28.12.2024,odpoczynek_rozrywka,,240
28.12.2024,czas_z_rodzina,,60
28.12.2024,nauka,TWD,220
29.12.2024,sen,,570
29.12.2024,czas_z_rodzina,,30
29.12.2024,hobby,,120
29.12.2024,czas_z_rodzina,,180
29.12.2024,nauka,jezyki,20
29.12.2024,hobby,,100
29.12.2024,spotkania_towarzyskie,,45
29.12.2024,nauka,jezyki,90
30.12.2024,sen, ,300
30.12.2024,czas_z_rodzina,,80
30.12.2024,sen,,240
30.12.2024,nauka,jezyki,60
30.12.2024,sport,,150
30.12.2024,spotkania_towarzyskie,,150
30.12.2024,nauka,ZPOiF,210
31.12.2024,sen,,520
31.12.2024,nauka,MN,120
31.12.2024,czas_z_rodzina,,90
31.12.2024,transport,,60
31.12.2024,spotkania_towarzyskie,,690
31.12.2024,transport,,15
1.01.2025,sen,,480
1.01.2025,czas_z_rodzina,,45
1.01.2025,nauka,MN,60
1.01.2025,spotkania_towarzyskie,,20
1.01.2025,odpoczynek_rozrywka,,30
1.01.2025,nauka,MN,70
1.01.2025,odpoczynek_rozrywka,,30
1.01.2025,hobby,,20
1.01.2025,nauka,TWD,10
1.01.2025,spotkania_towarzyskie,,60
2.01.2025,sen,,290
2.01.2025,dojazdy_na_uczelnie,,50
2.01.2025,przerwy_na_uczelni,,10
2.01.2025,zajecia_na_uczelni,RP,90
2.01.2025,przerwy_na_uczelni,,25
2.01.2025,nauka,jezyki,60
2.01.2025,przerwy_na_uczelni,,30
2.01.2025,zajecia_na_uczelni,jezyki,90
2.01.2025,przerwy_na_uczelni,,35
2.01.2025,nauka,MN,60
2.01.2025,hobby,,10
2.01.2025,nauka,TWD,10
2.01.2025,przerwy_na_uczelni,,10
2.01.2025,zajecia_na_uczelni,TWD,90
2.01.2025,dojazdy_na_uczelnie,,50
2.01.2025,hobby,,90
2.01.2025,nauka,ZPOiF,120
3.01.2025,sen,,330
3.01.2025,dojazdy_na_uczelnie,,30
3.01.2025,sport,,135
3.01.2025,dojazdy_na_uczelnie,,10
3.01.2025,przerwy_na_uczelni,,10
3.01.2025,zajecia_na_uczelni,RP,90
3.01.2025,nauka,TWD,110
3.01.2025,nauka,MN,25
3.01.2025,zajecia_na_uczelni,MN,45
2.01.2025,przerwy_na_uczelni,,15
3.01.2025,dojazdy_na_uczelnie,,45
3.01.2025,spotkania_towarzyskie,,45
3.01.2025,czas_z_rodzina,,45
3.01.2025,nauka,MN,120
3.01.2025,odpoczynek_rozrywka,,120
4.01.2025,sen,,660
4.01.2025,nauka,MN,100
4.01.2025,czas_z_rodzina,,90
4.01.2025,spotkania_towarzyskie,,30
4.01.2025,sport,,45
4.01.2025,czas_z_rodzina,,90
4.01.2025,odpoczynek_rozrywka,,60
5.01.2025,sen,,660
5.01.2025,czas_z_rodzina,,30
5.01.2025,spotkania_towarzyskie,,120
5.01.2025,nauka,TWD,170
5.01.2025,hobby,,45
5.01.2025,nauka,jezyki,15
5.01.2025,odpoczynek_rozrywka,,20
5.01.2025,nauka,TWD,240
5.01.2025,odpoczynek_rozrywka,,20
6.01.2025,sen,,400
6.01.2025,czas_z_rodzina,,30
6.01.2025,sport,,190
6.01.2025,spotkania_towarzyskie,,40
6.01.2025,nauka,TWD,10
6.01.2025,nauka,RP,135
6.01.2025,nauka,jezyki,15
6.01.2025,sport,,20
6.01.2025,nauka,RP,140
7.01.2025,sen,,300
7.01.2025,dojazdy_na_uczelnie,,60
7.01.2025,zajecia_na_uczelni,ASD,90
7.01.2025,przerwy_na_uczelni,,15
7.01.2025,zajecia_na_uczelni,ASD,90
7.01.2025,dojazdy_na_uczelnie,,40
7.01.2025,nauka,jezyki,60
7.01.2025,sport,,30
7.01.2025,spotkania_towarzyskie,,20
7.01.2025,nauka,ZPOiF,60
7.01.2025,czas_z_rodzina,,20
7.01.2025,nauka,ZPOiF,240
8.01.2025,sen,,390
8.01.2025,dojazdy_na_uczelnie,,50
8.01.2025,nauka,ZPOiF,45
8.01.2025,zajecia_na_uczelni,jezyki,90
8.01.2025,dojazdy_na_uczelnie,,50
8.01.2025,nauka,jezyki,20
8.01.2025,sport,,30
8.01.2025,nauka,jezyki,60
8.01.2025,sport,,80
8.01.2025,nauka,MN,150
8.01.2025,nauka,TWD,10
9.01.2025,sen,,340
9.01.2025,dojazdy_na_uczelnie,,55
9.01.2025,zajecia_na_uczelni,RP,90
9.01.2025,przerwy_na_uczelni,,30
9.01.2025,nauka,RP,90
9.01.2025,przerwy_na_uczelni,,15
9.01.2025,zajecia_na_uczelni,jezyki,90
9.01.2025,przerwy_na_uczelni,,30
9.01.2025,nauka,RP,90
9.01.2025,przerwy_na_uczelni,,5
9.01.2025,zajecia_na_uczelni,TWD,90
9.01.2025,przerwy_na_uczelni,,20
9.01.2025,zajecia_na_uczelni,TWD,45
9.01.2025,przerwy_na_uczelni,,10
9.01.2025,zajecia_na_uczelni,TWD,45
9.01.2025,spotkania_towarzyskie,,180
9.01.2025,nauka,RP,120
10.01.2025,sen,,220
10.01.2025,dojazdy_na_uczelnie,,35
10.01.2025,sport,,90
10.01.2025,dojazdy_na_uczelnie,,10
10.01.2025,zajecia_na_uczelni,RP,100
10.01.2025,przerwy_na_uczelni,,15
10.01.2025,nauka,TWD,105
10.01.2025,nauka,MN,15
10.01.2025,zajecia_na_uczelni,MN,45
10.01.2025,spotkania_towarzyskie,,270
10.01.2025,nauka,TWD,45
10.01.2025,spotkania_towarzyskie,,180
11.01.2025,sen,,300
11.01.2025,spotkania_towarzyskie,,20
11.01.2025,hobby,,600
11.01.2025,spotkania_towarzyskie,,480
12.01.2025,sen,,300
12.01.2025,hobby,,450
12.01.2025,spotkania_towarzyskie,,120
12.01.2025,nauka,TWD,90
12.01.2025,spotkania_towarzyskie,,75
12.01.2025,nauka,TWD,180
13.01.2025,sen,,370
13.01.2025,dojazdy_na_uczelnie,,60
13.01.2025,nauka,ZPOiF,90
13.01.2025,przerwy_na_uczelni,,10
13.01.2025,zajecia_na_uczelni,jezyki,90
13.01.2025,nauka,TWD,60
13.01.2025,hobby,,60
13.01.2025,spotkania_towarzyskie,,60
13.01.2025,przerwy_na_uczelni,,10
13.01.2025,zajecia_na_uczelni,ZPOiF,120
13.01.2025,dojazdy_na_uczelnie,,60
13.01.2025,hobby,,20
13.01.2025,nauka,ZPOiF,120
14.01.2025,sen,,510
14.01.2025,dojazdy_na_uczelnie,,50
14.01.2025,zajecia_na_uczelni,ASD,90
14.01.2025,nauka,MN,15
14.01.2025,nauka,TWD,45
14.01.2025,zajecia_na_uczelni,MN,25
14.01.2025,dojazdy_na_uczelnie,,50
14.01.2025,sport,,80
14.01.2025,nauka,jezyki,90
15.01.2025,sen,,660
15.01.2025,nauka,TWD,60
15.01.2025,nauka,MN,80
15.01.2025,nauka,TWD,10
15.01.2025,nauka,MN,120
15.01.2025,sen,,120
15.01.2025,nauka,MN,180
15.01.2025,nauka,jezyki,60
16.01.2025,sen,,660
16.01.2025,dojazdy_na_uczelnie,,30
16.01.2025,nauka,jezyki,20
16.01.2025,zajecia_na_uczelni,jezyki,35
16.01.2025,nauka,jezyki,25
16.01.2025,zajecia_na_uczelni,jezyki,10
16.01.2025,przerwy_na_uczelni,,50
16.01.2025,zajecia_na_uczelni,MN,60
16.01.2025,przerwy_na_uczelni,,10
16.01.2025,przerwy_na_uczelni,,30
16.01.2025,nauka,TWD,90
16.01.2025,zajecia_na_uczelni,TWD,20
16.01.2025,przerwy_na_uczelni,,10
16.01.2025,dojazdy_na_uczelnie,,50
16.01.2025,czas_z_rodzina,,30
17.01.2025,sen,,820
17.01.2025,nauka,ASD,420
17.01.2025,czas_z_rodzina,,60
17.01.2025,nauka,TWD,10
18.01.2025,sen,,650
18.01.2025,nauka,ASD,90
18.01.2025,czas_z_rodzina,,90
18.01.2025,hobby,,20
18.01.2025,nauka,RP,300
19.01.2025,sen,,400
19.01.2025,spotkania_towarzyskie,,30
19.01.2025,nauka,RP,360
19.01.2025,spotkania_towarzyskie,,120
19.01.2025,nauka,RP,60
19.01.2025,czas_z_rodzina,,60
