"Województwa","rok","liczba_urodzen","liczba_opuszczonych"
"łódzkie","2009",26052,62
"łódzkie","2010",25526,61
"łódzkie","2011",23952,68
"łódzkie","2012",23851,79
"łódzkie","2013",22420,52
"łódzkie","2014",22704,51
"łódzkie","2015",22113,57
"łódzkie","2016",22794,78
"łódzkie","2017",23782,75
"łódzkie","2018",23017,31
"łódzkie","2019",21644,29
"łódzkie","2020",20891,25
"łódzkie","2021",19567,36
"łódzkie","2022",18163,21
"łódzkie","2023",16383,32
"małopolskie","2007",34071,70
"małopolskie","2008",36852,58
"małopolskie","2009",37286,53
"małopolskie","2010",37049,72
"małopolskie","2011",35524,42
"małopolskie","2012",35117,52
"małopolskie","2013",34307,49
"małopolskie","2014",34419,57
"małopolskie","2015",34721,69
"małopolskie","2016",36331,49
"małopolskie","2017",38161,38
"małopolskie","2018",37864,31
"małopolskie","2019",36946,34
"małopolskie","2020",35360,31
"małopolskie","2021",33285,38
"małopolskie","2022",31082,35
"małopolskie","2023",28323,41
"mazowieckie","2007",55140,110
"mazowieckie","2008",58714,91
"mazowieckie","2009",59841,93
"mazowieckie","2010",60756,90
"mazowieckie","2011",57258,125
"mazowieckie","2012",57281,122
"mazowieckie","2013",55400,151
"mazowieckie","2014",57139,98
"mazowieckie","2015",57456,89
"mazowieckie","2016",59586,56
"mazowieckie","2017",61850,79
"mazowieckie","2018",60485,45
"mazowieckie","2019",59577,88
"mazowieckie","2020",56719,55
"mazowieckie","2021",53938,130
"mazowieckie","2022",50249,15
"mazowieckie","2023",44903,13
"opolskie","2007",8493,17
"opolskie","2008",9177,12
"opolskie","2009",9280,22
"opolskie","2010",9163,26
"opolskie","2011",8686,18
"opolskie","2012",8939,28
"opolskie","2013",8227,20
"opolskie","2014",8593,23
"opolskie","2015",8289,24
"opolskie","2016",8634,12
"opolskie","2017",9083,18
"opolskie","2018",8596,23
"opolskie","2019",8493,13
"opolskie","2020",7951,10
"opolskie","2021",7285,13
"opolskie","2022",6788,17
"opolskie","2023",6177,9
"podkarpackie","2007",20967,8
"podkarpackie","2008",22224,5
"podkarpackie","2009",22368,3
"podkarpackie","2010",21990,5
"podkarpackie","2011",21130,13
"podkarpackie","2012",21064,7
"podkarpackie","2013",20373,17
"podkarpackie","2014",19953,8
"podkarpackie","2015",19566,9
"podkarpackie","2016",20262,4
"podkarpackie","2017",21927,5
"podkarpackie","2018",21533,7
"podkarpackie","2019",20613,1
"podkarpackie","2020",19580,3
"podkarpackie","2021",17929,6
"podkarpackie","2022",16812,1
"podkarpackie","2023",14877,3
"podlaskie","2007",11196,13
"podlaskie","2008",11945,17
"podlaskie","2009",12202,20
"podlaskie","2010",11928,9
"podlaskie","2011",11155,8
"podlaskie","2012",11161,17
"podlaskie","2013",10619,9
"podlaskie","2014",11029,24
"podlaskie","2015",10825,5
"podlaskie","2016",11373,12
"podlaskie","2017",12054,4
"podlaskie","2018",11790,6
"podlaskie","2019",11342,0
"podlaskie","2020",10557,3
"podlaskie","2021",10112,15
"podlaskie","2022",9150,16
"podlaskie","2023",8280,21
"pomorskie","2007",25474,45
"pomorskie","2008",27430,49
"pomorskie","2009",27343,54
"pomorskie","2010",26890,61
"pomorskie","2011",25059,54
"pomorskie","2012",25052,65
"pomorskie","2013",23938,51
"pomorskie","2014",24610,50
"pomorskie","2015",24596,40
"pomorskie","2016",25865,34
"pomorskie","2017",27481,43
"pomorskie","2018",26498,31
"pomorskie","2019",26041,23
"pomorskie","2020",24495,33
"pomorskie","2021",23335,34
"pomorskie","2022",20993,39
"pomorskie","2023",19126,30
"śląskie","2007",43858,75
"śląskie","2008",46994,108
"śląskie","2009",47860,90
"śląskie","2010",47814,88
"śląskie","2011",44803,87
"śląskie","2012",44565,72
"śląskie","2013",42829,90
"śląskie","2014",42720,100
"śląskie","2015",41611,102
"śląskie","2016",42742,74
"śląskie","2017",44971,48
"śląskie","2018",42596,56
"śląskie","2019",40508,50
"śląskie","2020",38151,80
"śląskie","2021",34736,65
"śląskie","2022",31597,75
"śląskie","2023",27641,76
"świętokrzyskie","2007",11971,16
"świętokrzyskie","2008",12736,18
"świętokrzyskie","2009",12741,10
"świętokrzyskie","2010",12445,16
"świętokrzyskie","2011",11600,18
"świętokrzyskie","2012",11510,15
"świętokrzyskie","2013",10720,20
"świętokrzyskie","2014",10756,20
"świętokrzyskie","2015",10579,6
"świętokrzyskie","2016",10610,8
"świętokrzyskie","2017",10915,10
"świętokrzyskie","2018",10721,6
"świętokrzyskie","2019",10220,9
"świętokrzyskie","2020",9488,10
"świętokrzyskie","2021",8717,8
"świętokrzyskie","2022",8157,7
"świętokrzyskie","2023",7238,8
"warmińsko-mazurskie","2007",15616,20
"warmińsko-mazurskie","2008",16339,28
"warmińsko-mazurskie","2009",16538,30
"warmińsko-mazurskie","2010",15771,31
"warmińsko-mazurskie","2011",14750,31
"warmińsko-mazurskie","2012",14330,31
"warmińsko-mazurskie","2013",13624,43
"warmińsko-mazurskie","2014",13958,38
"warmińsko-mazurskie","2015",13121,34
"warmińsko-mazurskie","2016",13443,19
"warmińsko-mazurskie","2017",14533,19
"warmińsko-mazurskie","2018",13687,15
"warmińsko-mazurskie","2019",12911,16
"warmińsko-mazurskie","2020",12108,6
"warmińsko-mazurskie","2021",10539,9
"warmińsko-mazurskie","2022",9913,28
"warmińsko-mazurskie","2023",8487,25
"wielkopolskie","2007",38114,49
"wielkopolskie","2008",40925,55
"wielkopolskie","2009",40882,52
"wielkopolskie","2010",40909,49
"wielkopolskie","2011",38082,53
"wielkopolskie","2012",37833,48
"wielkopolskie","2013",36561,65
"wielkopolskie","2014",37000,40
"wielkopolskie","2015",36760,47
"wielkopolskie","2016",38237,40
"wielkopolskie","2017",40450,35
"wielkopolskie","2018",38778,21
"wielkopolskie","2019",37459,36
"wielkopolskie","2020",35885,44
"wielkopolskie","2021",33512,41
"wielkopolskie","2022",30478,69
"wielkopolskie","2023",27532,76
"zachodniopomorskie","2007",17108,40
"zachodniopomorskie","2008",18191,47
"zachodniopomorskie","2009",17848,50
"zachodniopomorskie","2010",17340,76
"zachodniopomorskie","2011",16002,70
"zachodniopomorskie","2012",15970,90
"zachodniopomorskie","2013",15425,59
"zachodniopomorskie","2014",15530,62
"zachodniopomorskie","2015",15088,70
"zachodniopomorskie","2016",15688,142
"zachodniopomorskie","2017",16276,30
"zachodniopomorskie","2018",15389,45
"zachodniopomorskie","2019",14614,47
"zachodniopomorskie","2020",13730,19
"zachodniopomorskie","2021",12850,82
"zachodniopomorskie","2022",11654,61
"zachodniopomorskie","2023",10447,80
"Polska","2007",387873,720
"Polska","2008",414499,775
"Polska","2009",417589,726
"Polska","2010",413300,798
"Polska","2011",388416,765
"Polska","2012",386257,918
"Polska","2013",369576,849
"Polska","2014",375160,772
"Polska","2015",369308,762
"Polska","2016",382257,709
"Polska","2017",401982,551
"Polska","2018",388178,472
"Polska","2019",374954,527
"Polska","2020",355309,506
"Polska","2021",331511,643
"Polska","2022",305132,571
"Polska","2023",272451,627
